category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
PMID	PMID.15255999	6	50	9606	9606.ENSP00000228682,9606.ENSP00000249373,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SMO,HHIP,SHH,PTCH1,GLI3	4.16e-16	1.3700000000000002e-12	(2004) Molecular profiling of malignant peripheral nerve sheath tumors associated with neurofibromatosis type 1, based on large-scale real-time RT-PCR.
PMID	PMID.15277480	4	5	9606	9606.ENSP00000228682,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SHH,PTCH1,GLI3	3.09e-13	9.480000000000001e-11	(2004) Sonic hedgehog expression and role in healing corneal epithelium.
PMID	PMID.15806168	4	5	9606	9606.ENSP00000228682,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SHH,PTCH1,GLI3	3.09e-13	9.480000000000001e-11	(2005) Gli1 is important for medulloblastoma formation in Ptc1+- mice.
PMID	PMID.16258256	6	22	9606	9606.ENSP00000228682,9606.ENSP00000249373,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SMO,HHIP,SHH,PTCH1,GLI3	4.8300000000000005e-18	1.2700000000000001e-13	(2005) Hedgehog signaling pathway and gastric cancer.
PMID	PMID.16571352	4	5	9606	9606.ENSP00000228682,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SHH,PTCH1,GLI3	3.09e-13	9.480000000000001e-11	(2006) Unique and complimentary activities of the Gli transcription factors in Hedgehog signaling.
PMID	PMID.17461467	5	5	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	6.32e-17	4.16e-13	(2007) Sonic hedgehog-Gli1 pathway in colorectal adenocarcinomas.
PMID	PMID.17683069	5	8	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	3.23e-16	1.21e-12	(2007) Hedgehog signaling pathway is inactive in colorectal cancer cell lines.
PMID	PMID.17698054	4	5	9606	9606.ENSP00000228682,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SHH,PTCH1,GLI3	3.09e-13	9.480000000000001e-11	(2007) Kinesin-2 controls development and patterning of the vertebrate skeleton by Hedgehog- and Gli3-dependent mechanisms.
PMID	PMID.18754037	5	21	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	1.65e-14	1.4e-11	(2009) Lack of evidence for activation of the hedgehog pathway in psoriasis.
PMID	PMID.18813320	5	32	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	1.09e-13	4.64e-11	(2008) Basal cell carcinomas: attack of the hedgehog.
PMID	PMID.19040769	5	15	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	3.89e-15	6.82e-12	(2008) The Hedgehog protein family.
PMID	PMID.19088834	4	4	9606	9606.ENSP00000228682,9606.ENSP00000249373,9606.ENSP00000297261,9606.ENSP00000332353	GLI1,SMO,SHH,PTCH1	1.7199999999999997e-13	6.379999999999999e-11	(2008) [Expression of genes related to Sonic Hedgehog signaling in human hepatocellular carcinomas].
PMID	PMID.19432668	4	5	9606	9606.ENSP00000228682,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SHH,PTCH1,GLI3	3.09e-13	9.480000000000001e-11	(2009) Expression of sonic hedgehog signaling molecules in normal, hyperplastic and carcinomatous endometrium.
PMID	PMID.19574535	5	9	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	5.02e-16	1.47e-12	(2010) Gli2 influences proliferation in the developing lung through regulation of cyclin expression.
PMID	PMID.19633682	5	26	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	4.26e-14	2.34e-11	(2009) Sonic hedgehog paracrine signaling regulates metastasis and lymphangiogenesis in pancreatic cancer.
PMID	PMID.20021670	5	16	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	5.1e-15	7.07e-12	(2009) Using mechanistic Bayesian networks to identify downstream targets of the sonic hedgehog pathway.
PMID	PMID.20530699	5	34	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	1.4400000000000002e-13	5.670000000000001e-11	(2010) Targeting Hedgehog--a cancer stem cell pathway.
PMID	PMID.20545610	5	20	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	1.33e-14	1.25e-11	(2010) Hedgehog signaling in the normal and neoplastic mammary gland.
PMID	PMID.20821230	4	5	9606	9606.ENSP00000228682,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SHH,PTCH1,GLI3	3.09e-13	9.480000000000001e-11	(2010) Expression of SHH signaling pathway components in the developing human lung.
PMID	PMID.20858759	5	10	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	7.53e-16	1.98e-12	(2010) Genetic variations in the sonic hedgehog pathway affect clinical outcomes in non-muscle-invasive bladder cancer.
PMID	PMID.20860831	5	37	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	2.13e-13	6.93e-11	(2010) Expression profiling in canine osteosarcoma: identification of biomarkers and pathways associated with outcome.
PMID	PMID.21093090	5	33	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	1.26e-13	5.17e-11	(2011) Hedgehog signaling in the liver.
PMID	PMID.21210262	4	5	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353	GLI1,HHIP,SHH,PTCH1	3.09e-13	9.480000000000001e-11	(2011) Identification of signature genes for detecting hedgehog pathway activation in esophageal cancer.
PMID	PMID.22208852	5	20	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	1.33e-14	1.25e-11	(2011) MotifMap: integrative genome-wide maps of regulatory motif sites for model species.
PMID	PMID.22294553	5	36	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	1.88e-13	6.420000000000001e-11	(2012) Hedgehog-EGFR cooperation response genes determine the oncogenic phenotype of basal cell carcinoma and tumour-initiating pancreatic cancer cells.
PMID	PMID.22361633	6	29	9606	9606.ENSP00000228682,9606.ENSP00000249373,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SMO,HHIP,SHH,PTCH1,GLI3	2.0800000000000003e-17	2.7399999999999994e-13	(2012) Hedgehog pathway activation in human transitional cell carcinoma of the bladder.
PMID	PMID.22438824	6	32	9606	9606.ENSP00000228682,9606.ENSP00000249373,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SMO,HHIP,SHH,PTCH1,GLI3	3.54e-17	3.11e-13	(2012) Nos2 inactivation promotes the development of medulloblastoma in Ptch1(+-) mice by deregulation of Gap43-dependent granule cell precursor migration.
PMID	PMID.22439934	5	22	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	2.02e-14	1.52e-11	(2012) The crosstalk of mTORS6K1 and Hedgehog pathways.
PMID	PMID.22541295	5	24	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	2.98e-14	1.82e-11	(2012) A Sonic hedgehog (Shh) response deficit in trisomic cells may be a common denominator for multiple features of Down syndrome.
PMID	PMID.22841315	5	25	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	3.57e-14	2.0899999999999997e-11	(2012) Sonic hedgehog maintains cellular and neurochemical homeostasis in the adult nigrostriatal circuit.
PMID	PMID.23205113	4	4	9606	9606.ENSP00000228682,9606.ENSP00000249373,9606.ENSP00000297261,9606.ENSP00000332353	GLI1,SMO,SHH,PTCH1	1.7199999999999997e-13	6.379999999999999e-11	(2012) Blockade of the sonic hedgehog pathway effectively inhibits the growth of hepatoma in mice: An in vivo study.
PMID	PMID.23359030	4	4	9606	9606.ENSP00000228682,9606.ENSP00000249373,9606.ENSP00000297261,9606.ENSP00000332353	GLI1,SMO,SHH,PTCH1	1.7199999999999997e-13	6.379999999999999e-11	(2012) Activation of sonic hedgehog signaling pathway is an independent potential prognosis predictor in human hepatocellular carcinoma patients.
PMID	PMID.23408837	5	23	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	2.46e-14	1.75e-11	(2013) Tissue-derived hedgehog proteins modulate Th differentiation and disease.
PMID	PMID.23459001	5	37	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	2.13e-13	6.93e-11	(2013) Gene expression analysis uncovers novel hedgehog interacting protein (HHIP) effects in human bronchial epithelial cells.
PMID	PMID.23566240	5	15	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	3.89e-15	6.82e-12	(2013) Expression of SHH signaling molecules in the developing human primary dentition.
PMID	PMID.23667589	5	35	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	1.65e-13	6.379999999999999e-11	(2013) Gli1 mediates lung cancer cell proliferation and Sonic Hedgehog-dependent mesenchymal cell activation.
PMID	PMID.23689223	4	4	9606	9606.ENSP00000228682,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SHH,PTCH1,GLI3	1.7199999999999997e-13	6.379999999999999e-11	(2013) Overexpression of the Hedgehog signalling pathway in head and neck squamous cell carcinoma.
PMID	PMID.23826113	5	14	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	2.91e-15	5.480000000000001e-12	(2013) Mutational analysis of hedgehog signaling pathway genes in human malignant mesothelioma.
PMID	PMID.23935937	5	38	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	2.4100000000000003e-13	7.559999999999999e-11	(2013) Structural and logical analysis of a comprehensive hedgehog signaling pathway to identify alternative drug targets for glioma, colon and pancreatic cancer.
PMID	PMID.24036680	4	5	9606	9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	HHIP,SHH,PTCH1,GLI3	3.09e-13	9.480000000000001e-11	(2014) Functions and roles of a protein-associated factor.
PMID	PMID.24150232	5	28	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	5.95e-14	3.01e-11	(2014) Transient activation of hedgehog pathway rescued irradiation-induced hyposalivation by preserving salivary stemprogenitor cells and parasympathetic innervation.
PMID	PMID.24260306	5	28	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	5.95e-14	3.01e-11	(2013) Gli activity is critical at multiple stages of embryonic mammary and nipple development.
PMID	PMID.24423612	5	18	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	8.43e-15	1.0100000000000001e-11	(2014) Hedgehog-GLI signaling inhibition suppresses tumor growth in squamous lung cancer.
PMID	PMID.24978848	5	26	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	4.26e-14	2.34e-11	(2014) Hedgehog signaling sensitizes glioma stem cells to endogenous nano-irradiation.
PMID	PMID.25143368	5	10	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	7.53e-16	1.98e-12	(2015) Joint analysis of differential gene expression in multiple studies using correlation motifs.
PMID	PMID.25150496	5	30	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	8.13e-14	3.6899999999999997e-11	(2014) The G protein Alfa subunit GAlfas is a tumor suppressor in Sonic hedgehog-driven medulloblastoma.
PMID	PMID.25370275	5	40	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	3.06e-13	9.480000000000001e-11	(2014) An epigenetic switch induced by Shh signalling regulates gene activation during development and medulloblastoma growth.
PMID	PMID.25691811	5	35	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	1.65e-13	6.379999999999999e-11	(2015) Hedgehog signaling in cancer stem cells: a focus on hematological cancers.
PMID	PMID.25889650	5	29	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	6.97e-14	3.28e-11	(2015) Hedgehog Acyltransferase as a target in estrogen receptor positive, HER2 amplified, and tamoxifen resistant breast cancer cells.
PMID	PMID.26107686	5	31	9606	9606.ENSP00000228682,9606.ENSP00000249373,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000379258	GLI1,SMO,HHIP,SHH,GLI3	9.44e-14	4.15e-11	(2015) GLI1 Transcription Factor Affects Tumor Aggressiveness in Patients With Papillary Thyroid Cancers.
PMID	PMID.26215410	4	5	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353	GLI1,HHIP,SHH,PTCH1	3.09e-13	9.480000000000001e-11	(2015) [Hedgehog signaling in the pathogenesis of neuro-oncology diseases].
PMID	PMID.26238476	5	22	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	2.02e-14	1.52e-11	(2015) Spatiotemporal regulation of GLI target genes in the mammalian limb bud.
PMID	PMID.26565916	5	23	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	2.46e-14	1.75e-11	(2015) FOXC1 Activates Smoothened-Independent Hedgehog Signaling in Basal-like Breast Cancer.
PMID	PMID.26649570	5	32	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	1.09e-13	4.64e-11	(2015) Celiac Disease Histopathology Recapitulates Hedgehog Downregulation, Consistent with Wound Healing Processes Activation.
PMID	PMID.26674664	4	5	9606	9606.ENSP00000228682,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SHH,PTCH1,GLI3	3.09e-13	9.480000000000001e-11	(2015) Sonic Hedgehog Signalling Pathway and Ameloblastoma - A Review.
PMID	PMID.26778835	5	21	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	1.65e-14	1.4e-11	(2016) Sonic Hedgehog regulates thymic epithelial cell differentiation.
PMID	PMID.26843616	5	40	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	3.06e-13	9.480000000000001e-11	(2016) In vitro and in vivo inhibition of breast cancer cell growth by targeting the HedgehogGLI pathway with SMO (GDC-0449) or GLI (GANT-61) inhibitors.
PMID	PMID.26912062	5	25	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	3.57e-14	2.0899999999999997e-11	(2016) Computational prediction and experimental validation of novel Hedgehog-responsive enhancers linked to genes of the Hedgehog pathway.
PMID	PMID.27221780	4	4	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353	GLI1,HHIP,SHH,PTCH1	1.7199999999999997e-13	6.379999999999999e-11	(2016) Expression analysis of Shh signaling members in early stages of chick lung development.
PMID	PMID.27258259	5	23	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	2.46e-14	1.75e-11	(2016) Role of Hedgehog Signaling Pathway in NASH.
PMID	PMID.27504268	5	25	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	3.57e-14	2.0899999999999997e-11	(2016) Hedgehog Signalling in the Embryonic Mouse Thymus.
PMID	PMID.27899820	5	23	9606	9606.ENSP00000228682,9606.ENSP00000249373,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SMO,SHH,PTCH1,GLI3	2.46e-14	1.75e-11	(2016) Inhibition of Hedgehog-dependent tumors and cancer stem cells by a newly identified naturally occurring chemotype.
PMID	PMID.28161524	5	33	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	1.26e-13	5.17e-11	(2017) John Saunders' ZPA, Sonic hedgehog and digit identity - How does it really all work?
PMID	PMID.28235772	5	31	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	9.44e-14	4.15e-11	(2017) Frontline Science: Shh production and Gli signaling is activated in vivo in lung, enhancing the Th2 response during a murine model of allergic asthma.
PMID	PMID.28275010	5	28	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	5.95e-14	3.01e-11	(2017) Epithelial and non-epithelial Ptch1 play opposing roles to regulate proliferation and morphogenesis of the mouse mammary gland.
PMID	PMID.28352167	5	12	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	1.55e-15	3.14e-12	(2017) Changes in the number of CD31-CD45-Sca-1+ cells and Shh signaling pathway involvement in the lungs of mice with emphysema and relevant effects of acute adenovirus infection.
PMID	PMID.28380258	5	19	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	1.07e-14	1.1199999999999999e-11	(2017) An essential role of intestinal cell kinase in lung development is linked to the perinatal lethality of human ECO syndrome.
PMID	PMID.28445929	5	21	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	1.65e-14	1.4e-11	(2017) The kinesin motor protein Kif7 is required for T-cell development and normal MHC expression on thymic epithelial cells (TEC) in the thymus.
