id_	over/under	perc_associated_foreground	perc_associated_background	fold_enrichment_foreground_2_background	foreground_count	foreground_n	background_count	background_n	p_uncorrected	FDR	description	ANs_foreground
.UPK:0386	o	0.173	0.086	2.000	2	1159	1	1159	1	1	Hypusine biosynthesis	P38791, P47120
.UPK:0105	o	0.173	0.086	2.000	2	1159	1	1159	1	1	Cadmium resistance	P39109, Q02159
..UPK:0234	o	2.761	1.467	1.882	32	1159	17	1159	0.0422	0.404	DNA repair	P04911, P06778, P11632, P11633, P12887, P14164, P15873, P22134, P22936, P26793, P29295, P31378, P32558, P32776, P32787, P35817, P36010, P38086, P38806, P38850, P38859, P38920, P40154, P40562, P43572, P43583, P80428, Q02455, Q03940, Q04002, Q04673, Q06337
.UPK:0698	o	7.593	4.142	1.833	88	1159	48	1159	0.000525	0.0104	rRNA processing	P05755, P0CX37, P15646, P20447, P20448, P22147, P24783, P25040, P25443, P25582, P25627, P27476, P32495, P33322, P33750, P34247, P35194, P36009, P36080, P37838, P38112, P38336, P38801, P38803, P38804, P38805, P38882, P38883, P38961, P40007, P40055, P40078, P40493, P41812, P42846, P47047, P47077, P47083, P48164, P48234, P48240, P53063, P53136, P53254, P53261, P53276, P53725, P53743, P53833, P53905, P53914, P53927, P53941, Q00416, Q01560, Q02792, Q03195, Q03280, Q03532, Q04031, Q04217, Q04225, Q04500, Q04660, Q05022, Q06106, Q06218, Q06287, Q06344, Q06406, Q06506, Q06511, Q06679, Q08162, Q08208, Q08237, Q08647, Q12080, Q12136, Q12149, Q12220, Q12247, Q12389, Q12499, Q3E705, Q3E754, Q6Q547, Q99207
..UPK:0004	o	0.777	0.431	1.800	9	1159	5	1159	0.423	1	4Fe-4S	P07264, P13382, P15436, P19414, P21951, P38859, P39522, P39533, Q08822
.UPK:0227	o	2.934	1.639	1.789	34	1159	19	1159	0.0507	0.471	DNA damage	P04911, P06778, P11632, P11633, P12887, P14164, P15873, P22134, P22936, P26793, P29295, P31378, P32558, P32776, P32787, P35817, P36010, P38086, P38806, P38850, P38859, P38920, P40154, P40562, P43572, P43583, P80428, Q02455, Q03940, Q04002, Q04673, Q06337, Q06624, Q07794
..UPK:0492	o	0.604	0.345	1.750	7	1159	4	1159	0.548	1	Microsome	P17898, P25694, P29704, P40312, P47008, P53860, Q01574
.UPK:0469	o	1.035	0.604	1.714	12	1159	7	1159	0.357	1	Meiosis	P20050, P21576, P31111, P33309, P36124, P38086, P38806, P39073, P53865, Q05812, Q12363, Q12508
..UPK:0540	o	1.381	0.863	1.600	16	1159	10	1159	0.324	1	Nuclease	P0C2I9, P15436, P17255, P22147, P26793, P33309, P38859, P53063, Q02555, Q02792, Q03434, Q06224, Q08162, Q08237, Q12149, Q12472
.UPK:0690	o	7.765	4.918	1.579	90	1159	57	1159	0.00622	0.0924	Ribosome biogenesis	P05755, P07280, P0CX37, P10964, P15646, P20447, P20448, P22138, P24783, P25443, P25582, P32495, P32892, P33201, P33322, P33750, P34247, P35194, P36049, P36080, P36136, P37838, P38112, P38333, P38779, P38803, P38804, P38805, P38882, P38883, P39715, P39744, P40007, P40010, P40055, P40078, P40160, P40693, P42846, P43586, P46669, P47006, P47019, P47077, P47083, P48164, P48234, P53136, P53254, P53261, P53276, P53313, P53742, P53743, P53927, P53941, Q01080, Q01560, Q01855, Q02892, Q03195, Q03532, Q04031, Q04217, Q04225, Q04500, Q04660, Q05022, Q05942, Q06218, Q06287, Q06344, Q06506, Q06511, Q06679, Q07953, Q08208, Q08647, Q08746, Q08965, Q12080, Q12136, Q12220, Q12389, Q12460, Q12499, Q12754, Q6Q547, Q99207, Q99216
.UPK:0539	o	41.846	26.747	1.565	485	1159	310	1159	2.24e-14	7.08e-12	Nucleus	O13297, O14467, P02293, P02294, P02309, P03871, P03872, P04147, P04911, P05755, P05759, P06105, P06169, P06778, P06785, P06786, P06843, P07245, P07248, P07261, P07278, P09798, P09938, P09959, P0C0W9, P0C2I9, P0CH08, P0CS91, P0CT05, P0CX37, P10080, P10664, P10962, P10964, P11632, P11633, P12383, P12684, P12887, P13382, P13393, P13574, P13712, P14164, P14682, P14832, P14906, P14907, P14922, P15436, P15565, P15646, P15700, P15873, P16550, P16649, P17106, P17157, P17442, P17629, P17890, P18412, P18480, P18888, P19263, P19659, P20050, P20053, P20095, P20134, P20447, P20448, P20449, P20676, P21243, P21269, P21538, P21951, P21957, P22035, P22082, P22134, P22138, P22141, P22217, P22515, P22579, P22936, P23255, P23293, P23615, P24384, P24783, P25357, P25441, P25443, P25451, P25502, P25554, P25555, P25582, P25588, P25627, P26321, P26793, P27476, P27692, P28004, P28320, P29055, P29056, P29295, P29468, P29539, P29547, P30822, P31111, P31378, P31385, P31539, P32342, P32379, P32380, P32389, P32432, P32447, P32494, P32495, P32499, P32504, P32558, P32561, P32591, P32597, P32639, P32657, P32776, P32832, P32833, P32892, P33201, P33203, P33297, P33298, P33299, P33322, P33399, P33411, P33417, P33750, P34161, P34219, P34247, P34730, P35177, P35187, P35189, P35194, P35817, P36009, P36036, P36047, P36049, P36053, P36080, P36136, P36160, P36421, P37838, P38074, P38086, P38112, P38121, P38129, P38140, P38144, P38157, P38197, P38198, P38199, P38205, P38255, P38281, P38282, P38333, P38336, P38351, P38624, P38630, P38687, P38768, P38777, P38779, P38793, P38801, P38803, P38804, P38805, P38806, P38827, P38828, P38850, P38858, P38859, P38879, P38882, P38883, P38911, P38920, P38931, P38961, P38996, P39001, P39015, P39073, P39520, P39521, P39678, P39705, P39715, P39744, P39927, P39956, P39959, P39979, P40002, P40007, P40010, P40018, P40019, P40024, P40055, P40069, P40075, P40078, P40081, P40106, P40151, P40154, P40160, P40161, P40316, P40317, P40327, P40348, P40457, P40466, P40470, P40489, P40493, P40505, P40506, P40517, P40535, P40553, P40562, P40693, P40963, P41277, P41696, P41812, P41813, P41814, P41895, P41896, P41920, P42073, P42846, P42938, P43572, P43579, P43583, P43586, P43609, P45976, P46669, P46678, P46947, P46957, P47006, P47019, P47037, P47047, P47077, P47083, P47110, P47119, P47120, P48164, P48234, P48240, P48510, P49687, P49723, P50104, P50105, P51979, P52488, P52553, P52910, P53040, P53063, P53064, P53072, P53082, P53114, P53136, P53148, P53165, P53168, P53184, P53254, P53261, P53267, P53276, P53297, P53313, P53438, P53551, P53552, P53617, P53628, P53718, P53725, P53742, P53743, P53833, P53854, P53883, P53905, P53909, P53914, P53927, P53940, P53941, P53946, P53973, P53981, P61830, P80428, P89105, Q00416, Q00916, Q01080, Q01329, Q01448, Q01454, Q01560, Q01574, Q01939, Q02046, Q02206, Q02336, Q02455, Q02486, Q02642, Q02775, Q02792, Q02890, Q02892, Q02908, Q03012, Q03048, Q03063, Q03195, Q03280, Q03281, Q03330, Q03338, Q03373, Q03388, Q03434, Q03532, Q03661, Q03707, Q03750, Q03761, Q03774, Q03790, Q03833, Q03940, Q03973, Q04002, Q04003, Q04031, Q04116, Q04170, Q04178, Q04217, Q04225, Q04226, Q04347, Q04383, Q04500, Q04545, Q04660, Q04673, Q04693, Q04779, Q05021, Q05022, Q05123, Q05166, Q05471, Q05515, Q05543, Q05635, Q05905, Q05942, Q05958, Q06053, Q06106, Q06178, Q06205, Q06214, Q06218, Q06224, Q06287, Q06337, Q06338, Q06344, Q06406, Q06411, Q06449, Q06494, Q06505, Q06506, Q06511, Q06629, Q06631, Q06639, Q06679, Q06697, Q07457, Q07458, Q07478, Q07551, Q07794, Q07953, Q08162, Q08208, Q08237, Q08421, Q08422, Q08647, Q08687, Q08746, Q08887, Q08923, Q08965, Q08972, Q12018, Q12020, Q12060, Q12080, Q12136, Q12149, Q12156, Q12159, Q12186, Q12211, Q12220, Q12247, Q12309, Q12345, Q12348, Q12363, Q12389, Q12433, Q12460, Q12472, Q12495, Q12499, Q12504, Q12513, Q12514, Q12692, Q12754, Q2V2Q1, Q3E705, Q6Q547, Q99207, Q99216, Q99314, Q99383
..UPK:0508	o	2.157	1.381	1.562	25	1159	16	1159	0.207	1	mRNA splicing	P15424, P20053, P20095, P24384, P28004, P32639, P33203, P33411, P36084, P38282, P38768, P40018, P46947, P53854, P53905, Q00916, Q02775, Q03338, Q04693, Q06406, Q06411, Q07478, Q08647, Q12186, Q12309
.UPK:0235	o	1.726	1.122	1.538	20	1159	13	1159	0.293	1	DNA replication	P09938, P13382, P14164, P14682, P15436, P15873, P21951, P25588, P26793, P32445, P32558, P32833, P38121, P38630, P38859, P40348, P46957, P47110, P49723, Q01454
.UPK:0863	o	3.796	2.502	1.517	44	1159	29	1159	0.0953	0.698	Zinc-finger	P05759, P07248, P09064, P0C2I9, P0CX25, P13382, P15436, P19812, P20050, P21951, P22138, P25491, P29055, P29056, P32432, P35191, P35997, P36053, P36124, P38806, P39956, P39959, P40151, P40963, P41696, P43609, P49166, P51979, P53940, Q02336, Q02775, Q03012, Q03434, Q03833, Q04545, Q04673, Q04779, Q05580, Q06053, Q07457, Q08422, Q08923, Q12186, Q12472
...UPK:0255	o	0.777	0.518	1.500	9	1159	6	1159	0.606	1	Endonuclease	P0C2I9, P17255, P26793, P33309, Q02555, Q03434, Q06224, Q08162, Q12472
..UPK:0544	o	0.518	0.345	1.500	6	1159	4	1159	0.753	1	Nucleosome core	P02293, P02294, P02309, P04911, P61830, Q12692
.UPK:0665	o	0.518	0.345	1.500	6	1159	4	1159	0.753	1	Pyrimidine biosynthesis	P07259, P13298, P15700, P20051, P28272, P28274
..UPK:0332	o	0.259	0.173	1.500	3	1159	2	1159	1	1	GMP biosynthesis	P38625, P50094, P50095
...UPK:0432	o	0.259	0.173	1.500	3	1159	2	1159	1	1	Leucine biosynthesis	P06208, P07264, Q12166
..UPK:0592	o	0.259	0.173	1.500	3	1159	2	1159	1	1	Phosphate transport	P25297, P38264, P46956
.UPK:0159	o	0.259	0.173	1.500	3	1159	2	1159	1	1	Chromosome partition	P40316, P53168, P53267
.UPK:0733	o	0.259	0.173	1.500	3	1159	2	1159	1	1	Signal recognition particle	P20424, P32342, P38687
...UPK:0822	o	0.259	0.173	1.500	3	1159	2	1159	1	1	Tryptophan biosynthesis	P00899, P00931, P00937
.UPK:0831	o	0.259	0.173	1.500	3	1159	2	1159	1	1	Ubiquinone biosynthesis	P49017, P53318, Q05779
..UPK:0055	o	0.259	0.173	1.500	3	1159	2	1159	1	1	Arginine biosynthesis	P03965, Q01217, Q04728
.UPK:0068	o	0.259	0.173	1.500	3	1159	2	1159	1	1	Autocatalytic cleavage	P17255, P49687, Q04728
.UPK:0507	o	3.451	2.330	1.481	40	1159	27	1159	0.136	0.897	mRNA processing	O13297, P04147, P07253, P15424, P20053, P20095, P24384, P27692, P28004, P29468, P32639, P33203, P33411, P36084, P38282, P38768, P39517, P39927, P40018, P42073, P45976, P46947, P53063, P53854, P53905, Q00416, Q00916, Q01329, Q02775, Q02792, Q03338, Q04693, Q06224, Q06406, Q06411, Q07478, Q08647, Q12186, Q12309, Q99383
..UPK:0012	o	1.639	1.122	1.462	19	1159	13	1159	0.374	1	Acyltransferase	P08465, P09950, P12695, P19262, P33333, P39010, P39979, P40963, P40970, P41338, P43577, P53072, P53914, Q02908, Q03330, Q04728, Q06592, Q08689, Q12447
.UPK:0747	o	1.381	0.949	1.455	16	1159	11	1159	0.439	1	Spliceosome	P20053, P28004, P32639, P33411, P38282, P46947, P53854, P53905, Q00916, Q02775, Q03338, Q04693, Q06406, Q06411, Q07478, Q12309
.UPK:0158	o	2.502	1.726	1.450	29	1159	20	1159	0.248	1	Chromosome	P02293, P02294, P02309, P04911, P11632, P11633, P17106, P20050, P25555, P29539, P31111, P32504, P32558, P33322, P38198, P38199, P38827, P38859, P38961, P40161, P40553, P47037, P53148, P53168, P53267, P53551, P61830, Q04002, Q12692
.UPK:0175	o	7.420	5.263	1.410	86	1159	61	1159	0.0405	0.404	Coiled coil	P06843, P12945, P14907, P15108, P17536, P17891, P22203, P23255, P25343, P25357, P25582, P25588, P31111, P31539, P32380, P32389, P32447, P32457, P32468, P32521, P32558, P32563, P32892, P33416, P34216, P34237, P35817, P36015, P36049, P36080, P36112, P38129, P38249, P38806, P38934, P38961, P39705, P40005, P40457, P40505, P40961, P43579, P43586, P43609, P47037, P50105, P53075, P53168, P53192, P53261, P53267, P53854, P53865, P69771, Q02455, Q02725, Q02792, Q03388, Q03750, Q03761, Q03833, Q04003, Q04004, Q04031, Q04347, Q04697, Q04947, Q05021, Q05040, Q05166, Q06344, Q06440, Q06493, Q06506, Q06629, Q06631, Q06671, Q06704, Q07457, Q08179, Q08245, Q12247, Q12495, Q12499, Q12514, Q3E705
..UPK:0032	o	0.949	0.690	1.375	11	1159	8	1159	0.646	1	Aminotransferase	P07991, P14742, P23542, P33330, P38891, P47039, P47176, P48015, P52893, P53090, Q01802
.UPK:0663	o	2.243	1.639	1.368	26	1159	19	1159	0.367	1	Pyridoxal phosphate	P00927, P00931, P06106, P06738, P07991, P09950, P16120, P23542, P25374, P25379, P31373, P32582, P33330, P37291, P37292, P37303, P38197, P38891, P40970, P47039, P47176, P49095, P52893, P53090, Q01802, Q04792
.UPK:0554	o	0.690	0.518	1.333	8	1159	6	1159	0.79	1	One-carbon metabolism	P07245, P09440, P10659, P19358, P37291, P37292, P39954, Q02046
.UPK:0271	o	0.345	0.259	1.333	4	1159	3	1159	1	1	Exosome	P38801, P48240, Q08162, Q12149
.UPK:0815	o	0.345	0.259	1.333	4	1159	3	1159	1	1	Transposition	P0C2I9, P40161, Q03434, Q12472
.UPK:0312	o	0.345	0.259	1.333	4	1159	3	1159	1	1	Gluconeogenesis	P00942, P12709, P32327, P38140
..UPK:0820	o	0.345	0.259	1.333	4	1159	3	1159	1	1	tRNA-binding	P15565, P38205, P40825, P46672
.UPK:0350	o	0.345	0.259	1.333	4	1159	3	1159	1	1	Heme biosynthesis	P09950, P16622, P40012, Q07540
..UPK:0030	o	2.071	1.553	1.333	24	1159	18	1159	0.437	1	Aminoacyl-tRNA synthetase	P00958, P04801, P04802, P04803, P07263, P07284, P07806, P09436, P13188, P15180, P15624, P15625, P26637, P36421, P38088, P38705, P38707, P38708, P40825, P46655, P48525, P53852, Q05506, Q12109
.UPK:0802	o	1.035	0.777	1.333	12	1159	9	1159	0.662	1	TPR repeat	P07213, P09798, P12945, P14922, P15705, P33313, P47133, P53691, P89105, Q03690, Q06103, Q12118
.UPK:0024	o	1.035	0.777	1.333	12	1159	9	1159	0.662	1	Alternative initiation	P06208, P06778, P07263, P07806, P15565, P18888, P21269, P38088, P38431, P40825, P41921, Q01976
.UPK:0809	o	10.785	8.197	1.316	125	1159	95	1159	0.0397	0.404	Transit peptide	P00427, P00447, P00830, P00890, P00927, P04037, P05626, P06168, P07246, P07251, P07256, P07257, P07263, P07275, P07342, P07806, P08417, P09440, P09457, P09624, P09950, P0C5N3, P0CS91, P10507, P11914, P12687, P12695, P12887, P14066, P15424, P15565, P16387, P16451, P16622, P17505, P17695, P19262, P19414, P19882, P19955, P20967, P21269, P21560, P21954, P22354, P23180, P25039, P25372, P25374, P25719, P28239, P28241, P28817, P28834, P31378, P32340, P32445, P32454, P32463, P32473, P32787, P33416, P34227, P35191, P36013, P36112, P36141, P36147, P36775, P37292, P38071, P38077, P38087, P38088, P38300, P38345, P38523, P38793, P38884, P38891, P39522, P39533, P39726, P39952, P40047, P40053, P40185, P40491, P40495, P40513, P40825, P46367, P46681, P48015, P48360, P49017, P49095, P52893, P53163, P53193, P53219, P53312, P53318, P53598, P53875, Q00711, Q01163, Q01217, Q01802, Q01852, Q01926, Q02486, Q02776, Q04401, Q04728, Q05779, Q06405, Q06493, Q07540, Q08179, Q08742, Q08822, Q12122, Q12166, Q12480
.UPK:0658	o	1.122	0.863	1.300	13	1159	10	1159	0.676	1	Purine biosynthesis	P07244, P07245, P09440, P27616, P38009, P38625, P38972, P50094, P50095, P54113, P80210, Q02046, Q05911
.UPK:0694	o	8.973	6.989	1.284	104	1159	81	1159	0.0915	0.689	RNA-binding	P04147, P04456, P05750, P05755, P06105, P06634, P07260, P0C0W9, P0C2I9, P0CX35, P0CX45, P0CX47, P0CX53, P0CX55, P10080, P10081, P10664, P15424, P15565, P15646, P16521, P20424, P20447, P20448, P20449, P21269, P22147, P23301, P24783, P25555, P25567, P26321, P27476, P28241, P28834, P29468, P32324, P32342, P32495, P32892, P33322, P33399, P34167, P36009, P36036, P36084, P37838, P38112, P38199, P38205, P38249, P38282, P38687, P38801, P38805, P38996, P39517, P39935, P40018, P40693, P40825, P41814, P42073, P46672, P48240, P48525, P49166, P49687, P53063, P53072, P53254, P53617, P53725, P53741, P53743, P53883, P53905, P53927, P89886, Q00916, Q01560, Q02555, Q03434, Q03532, Q04067, Q04217, Q06106, Q06218, Q06287, Q06344, Q06406, Q07478, Q08162, Q08208, Q08925, Q12080, Q12149, Q12159, Q12186, Q12389, Q12472, Q12754, Q99216, Q99383
.UPK:0862	o	8.024	6.299	1.274	93	1159	73	1159	0.126	0.845	Zinc	P00330, P00331, P00445, P00815, P04037, P05694, P05759, P07246, P07248, P08566, P09064, P0C2I9, P0CX25, P10507, P10964, P12383, P13382, P14540, P15436, P19812, P20050, P20051, P21951, P22138, P22936, P25375, P25491, P25502, P29055, P29056, P29952, P32327, P32432, P32454, P32771, P32898, P35191, P35997, P36053, P36124, P37302, P37898, P38140, P38157, P38806, P39001, P39714, P39925, P39956, P39959, P40151, P40202, P40825, P40963, P41057, P41058, P41696, P43588, P43609, P43616, P46969, P49166, P50104, P51979, P52488, P53184, P53852, P53909, P53940, Q01662, Q02336, Q02775, Q02890, Q03012, Q03434, Q03833, Q04545, Q04673, Q04779, Q04894, Q05580, Q05958, Q06053, Q06224, Q06639, Q07457, Q08422, Q08923, Q12154, Q12178, Q12186, Q12211, Q12472
..UPK:0100	o	0.863	0.690	1.250	10	1159	8	1159	0.814	1	Branched-chain amino acid biosynthesis	P00927, P06168, P06208, P07264, P07342, P31116, P38891, P39522, P47176, Q12166
..UPK:0198	o	0.431	0.345	1.250	5	1159	4	1159	1	1	Cysteine biosynthesis	P06106, P31373, P32389, P32582, Q02196
.UPK:0640	o	0.431	0.345	1.250	5	1159	4	1159	1	1	Prion	P05030, P05453, P14922, P32432, Q08972
.UPK:0034	o	0.431	0.345	1.250	5	1159	4	1159	1	1	Amyloid	P05030, P05453, P14922, P32432, Q08972
..UPK:0368	o	0.431	0.345	1.250	5	1159	4	1159	1	1	Histidine biosynthesis	P00498, P00815, P07245, P09440, P40545
..UPK:0791	o	0.431	0.345	1.250	5	1159	4	1159	1	1	Threonine biosynthesis	P10869, P13663, P16120, P17423, P31116
..UPK:0457	o	0.431	0.345	1.250	5	1159	4	1159	1	1	Lysine biosynthesis	P13663, P39533, P40495, P48570, Q12122
