id	over/under	perc_associated_study	perc_associated_pop	fold_enrichment_study2pop	study_count	study_n	pop_count	pop_n	p_uncorrected	FDR	ANs_study
Lipoyl	o	0.356	0.178	2.000	4	1123	2	1123	0.687	1	P12695, P16451, P19262, P39726
Cadmium resistance	o	0.178	0.089	2.000	2	1123	1	1123	1	1	P39109, Q02159
Pantothenate biosynthesis	o	0.178	0.089	2.000	2	1123	1	1123	1	1	P38122, P38787
Plasmid	o	0.178	0.089	2.000	2	1123	1	1123	1	1	P03871, P03872
Phosphopantetheine	o	0.178	0.089	2.000	2	1123	1	1123	1	1	P19097, P32463
Hypusine biosynthesis	o	0.178	0.089	2.000	2	1123	1	1123	1	1	P38791, P47120
Plasmid partition	o	0.178	0.089	2.000	2	1123	1	1123	1	1	P03871, P03872
Glycerol metabolism	o	0.178	0.089	2.000	2	1123	1	1123	1	1	P32190, P54838
Isoleucine biosynthesis	o	0.178	0.089	2.000	2	1123	1	1123	1	1	P00927, P31116
Ubiquinone	o	0.178	0.089	2.000	2	1123	1	1123	1	1	P32340, Q08822
Copper transport	o	0.178	0.089	2.000	2	1123	1	1123	1	1	P38636, P49573
DNA repair	o	2.760	1.514	1.824	31	1123	17	1123	0.0568	0.618	P04911, P06778, P11632, P11633, P12887, P14164, P15873, P22134, P22936, P26793, P29295, P31378, P32558, P32776, P32787, P35817, P36010, P38086, P38850, P38859, P38920, P40154, P40562, P43572, P43583, P80428, Q02455, Q03940, Q04002, Q04673, Q06337
4Fe-4S	o	0.801	0.445	1.800	9	1123	5	1123	0.422	1	P07264, P13382, P15436, P19414, P21951, P38859, P39522, P39533, Q08822
rRNA processing	o	7.658	4.274	1.792	86	1123	48	1123	0.000918	0.028	P05755, P0CX37, P15646, P20447, P20448, P22147, P24783, P25040, P25443, P25582, P25627, P27476, P32495, P33322, P33750, P34247, P35194, P36009, P36080, P37838, P38112, P38336, P38801, P38803, P38804, P38805, P38882, P38883, P38961, P40007, P40055, P40078, P40493, P41812, P42846, P47047, P47077, P47083, P48164, P48234, P48240, P53063, P53136, P53254, P53261, P53276, P53725, P53743, P53833, P53905, P53927, P53941, Q00416, Q01560, Q02792, Q03195, Q03280, Q03532, Q04031, Q04217, Q04225, Q04500, Q04660, Q05022, Q06106, Q06218, Q06287, Q06344, Q06406, Q06506, Q06511, Q06679, Q08162, Q08208, Q08237, Q08647, Q12080, Q12136, Q12149, Q12220, Q12389, Q12499, Q3E705, Q3E754, Q6Q547, Q99207
DNA-binding	o	7.480	4.185	1.787	84	1123	47	1123	0.00112	0.031	O14467, P02293, P02309, P04911, P06786, P06843, P07248, P09959, P0C2I9, P11632, P11633, P12383, P13382, P13393, P13574, P14164, P15436, P15873, P17106, P17255, P17890, P20134, P21538, P21951, P21957, P22035, P25302, P25357, P25502, P25555, P27476, P32432, P32445, P32504, P32527, P32591, P32657, P32787, P33322, P33417, P34161, P34219, P36036, P36775, P38071, P38086, P38144, P38630, P38845, P38859, P39001, P39015, P39521, P39678, P39956, P40151, P40154, P40161, P40348, P40466, P40489, P40535, P40562, P41696, P41813, P41895, P41896, P43609, P53438, P53551, P61830, P89105, Q01080, Q02486, Q03434, Q03833, Q03973, Q04013, Q04116, Q04545, Q05543, Q05958, Q06639, Q12692
DNA-directed DNA polymerase	o	0.623	0.356	1.750	7	1123	4	1123	0.548	1	P0C2I9, P13382, P15436, P21951, P46957, P47110, Q03434
DNA damage	o	2.939	1.692	1.737	33	1123	19	1123	0.0672	0.706	P04911, P06778, P11632, P11633, P12887, P14164, P15873, P22134, P22936, P26793, P29295, P31378, P32558, P32776, P32787, P35817, P36010, P38086, P38850, P38859, P38920, P40154, P40562, P43572, P43583, P80428, Q02455, Q03940, Q04002, Q04673, Q06337, Q06624, Q07794
Ribosome biogenesis	o	8.014	5.076	1.579	90	1123	57	1123	0.00616	0.145	P05755, P07280, P0CX37, P10964, P15646, P20447, P20448, P22138, P24783, P25443, P25582, P32495, P32892, P33201, P33322, P33750, P34247, P35194, P36049, P36080, P36136, P37838, P38112, P38333, P38779, P38803, P38804, P38805, P38882, P38883, P39715, P39744, P40007, P40010, P40055, P40078, P40160, P40693, P42846, P43586, P46669, P47006, P47019, P47077, P47083, P48164, P48234, P53136, P53254, P53261, P53276, P53313, P53742, P53743, P53927, P53941, Q01080, Q01560, Q01855, Q02892, Q03195, Q03532, Q04031, Q04217, Q04225, Q04500, Q04660, Q05022, Q05942, Q06218, Q06287, Q06344, Q06506, Q06511, Q06679, Q07953, Q08208, Q08647, Q08746, Q08965, Q12080, Q12136, Q12220, Q12389, Q12460, Q12499, Q12754, Q6Q547, Q99207, Q99216
mRNA splicing	o	2.137	1.425	1.500	24	1123	16	1123	0.264	1	P15424, P20053, P20095, P24384, P28004, P32639, P33203, P33411, P36084, P38768, P40018, P46947, P53854, P53905, Q00916, Q02775, Q03338, Q04693, Q06406, Q06411, Q07478, Q08647, Q12186, Q12309
Nuclease	o	1.336	0.890	1.500	15	1123	10	1123	0.422	1	P0C2I9, P15436, P17255, P22147, P26793, P33309, P38859, P53063, Q02555, Q02792, Q03434, Q06224, Q08162, Q08237, Q12149
Pyrimidine biosynthesis	o	0.534	0.356	1.500	6	1123	4	1123	0.753	1	P07259, P13298, P15700, P20051, P28272, P28274
GMP biosynthesis	o	0.267	0.178	1.500	3	1123	2	1123	1	1	P38625, P50094, P50095
Phosphate transport	o	0.267	0.178	1.500	3	1123	2	1123	1	1	P25297, P38264, P46956
Signal recognition particle	o	0.267	0.178	1.500	3	1123	2	1123	1	1	P20424, P32342, P38687
Autocatalytic cleavage	o	0.267	0.178	1.500	3	1123	2	1123	1	1	P17255, P49687, Q04728
Ubiquinone biosynthesis	o	0.267	0.178	1.500	3	1123	2	1123	1	1	P49017, P53318, Q05779
Cobalt	o	0.267	0.178	1.500	3	1123	2	1123	1	1	P10659, P19358, P46969
Arginine biosynthesis	o	0.267	0.178	1.500	3	1123	2	1123	1	1	P03965, Q01217, Q04728
Tryptophan biosynthesis	o	0.267	0.178	1.500	3	1123	2	1123	1	1	P00899, P00931, P00937
Leucine biosynthesis	o	0.267	0.178	1.500	3	1123	2	1123	1	1	P06208, P07264, Q12166
Nucleus	o	40.784	27.248	1.497	458	1123	306	1123	1.57e-11	4.78e-09	O13297, O14467, P02293, P02309, P03871, P03872, P04147, P04911, P05755, P05759, P06105, P06169, P06778, P06785, P06786, P06843, P07245, P07248, P07278, P09798, P09938, P09959, P0C0W9, P0C2I9, P0CX37, P10080, P10664, P10962, P10964, P11632, P11633, P12383, P12684, P12887, P13382, P13393, P13574, P13712, P14164, P14682, P14832, P14906, P14907, P14922, P15436, P15565, P15646, P15700, P15873, P16550, P16649, P17106, P17157, P17442, P17629, P17890, P18480, P18888, P19263, P19659, P20053, P20095, P20134, P20447, P20448, P20449, P20676, P21243, P21269, P21538, P21951, P21957, P22035, P22082, P22134, P22138, P22141, P22217, P22515, P22579, P22936, P23255, P23293, P23615, P24384, P24783, P25357, P25441, P25443, P25451, P25502, P25554, P25555, P25582, P25588, P25627, P26321, P26793, P27476, P27692, P28004, P28320, P29055, P29056, P29295, P29468, P29539, P29547, P30822, P31378, P31385, P31539, P32342, P32379, P32380, P32432, P32447, P32494, P32495, P32499, P32504, P32558, P32561, P32591, P32597, P32639, P32657, P32776, P32832, P32892, P33201, P33203, P33297, P33298, P33299, P33322, P33399, P33411, P33417, P33750, P34161, P34219, P34247, P34730, P35177, P35187, P35189, P35194, P35817, P36009, P36036, P36047, P36049, P36053, P36080, P36136, P36160, P36421, P37838, P38074, P38086, P38112, P38121, P38129, P38144, P38198, P38199, P38205, P38255, P38281, P38333, P38336, P38351, P38624, P38630, P38687, P38768, P38777, P38779, P38793, P38801, P38803, P38804, P38805, P38827, P38828, P38850, P38858, P38859, P38879, P38882, P38883, P38911, P38920, P38931, P38961, P38996, P39001, P39015, P39073, P39520, P39521, P39678, P39705, P39715, P39744, P39927, P39956, P39979, P40002, P40007, P40010, P40018, P40019, P40024, P40055, P40069, P40075, P40078, P40081, P40106, P40151, P40154, P40160, P40161, P40317, P40327, P40348, P40457, P40466, P40470, P40489, P40493, P40505, P40506, P40517, P40535, P40553, P40562, P40693, P41277, P41696, P41812, P41813, P41814, P41895, P41896, P41920, P42073, P42846, P42938, P43572, P43579, P43583, P43586, P43609, P45976, P46669, P46678, P46947, P46957, P47006, P47019, P47037, P47047, P47077, P47083, P47110, P47119, P47120, P48164, P48234, P48240, P48510, P49687, P49723, P50105, P52488, P52553, P52910, P53040, P53063, P53064, P53072, P53082, P53114, P53136, P53148, P53165, P53168, P53184, P53254, P53261, P53267, P53276, P53297, P53313, P53438, P53551, P53552, P53617, P53628, P53725, P53742, P53743, P53833, P53854, P53883, P53905, P53909, P53914, P53927, P53940, P53941, P53946, P53973, P53981, P61830, P80428, P89105, Q00416, Q00916, Q01080, Q01329, Q01448, Q01454, Q01560, Q01574, Q01939, Q02046, Q02206, Q02336, Q02455, Q02486, Q02642, Q02775, Q02792, Q02890, Q02892, Q02908, Q03012, Q03048, Q03063, Q03195, Q03280, Q03281, Q03330, Q03338, Q03373, Q03388, Q03434, Q03532, Q03661, Q03707, Q03750, Q03761, Q03774, Q03790, Q03833, Q03940, Q03973, Q04002, Q04003, Q04031, Q04116, Q04170, Q04178, Q04217, Q04225, Q04226, Q04347, Q04500, Q04545, Q04660, Q04673, Q04693, Q04779, Q05021, Q05022, Q05123, Q05166, Q05515, Q05543, Q05635, Q05905, Q05942, Q05958, Q06053, Q06106, Q06178, Q06205, Q06214, Q06218, Q06224, Q06287, Q06337, Q06338, Q06344, Q06406, Q06411, Q06449, Q06494, Q06505, Q06506, Q06511, Q06629, Q06631, Q06639, Q06679, Q06697, Q07457, Q07458, Q07478, Q07551, Q07794, Q07953, Q08162, Q08208, Q08237, Q08421, Q08422, Q08647, Q08687, Q08746, Q08887, Q08923, Q08965, Q08972, Q12018, Q12020, Q12060, Q12080, Q12136, Q12149, Q12156, Q12159, Q12186, Q12211, Q12220, Q12309, Q12345, Q12363, Q12389, Q12433, Q12460, Q12495, Q12499, Q12504, Q12513, Q12514, Q12692, Q12754, Q3E705, Q6Q547, Q99207, Q99216, Q99314, Q99383
DNA replication	o	1.692	1.158	1.462	19	1123	13	1123	0.374	1	P09938, P13382, P14164, P14682, P15436, P15873, P21951, P25588, P26793, P32445, P32558, P38121, P38630, P38859, P40348, P46957, P47110, P49723, Q01454
mRNA processing	o	3.473	2.404	1.444	39	1123	27	1123	0.169	1	O13297, P04147, P07253, P15424, P20053, P20095, P24384, P27692, P28004, P29468, P32639, P33203, P33411, P36084, P38768, P39517, P39927, P40018, P42073, P45976, P46947, P53063, P53854, P53905, Q00416, Q00916, Q01329, Q02775, Q02792, Q03338, Q04693, Q06224, Q06406, Q06411, Q07478, Q08647, Q12186, Q12309, Q99383
Alternative initiation	o	0.890	0.623	1.429	10	1123	7	1123	0.628	1	P06208, P06778, P07263, P07806, P15565, P18888, P21269, P38088, P38431, P40825
Microsome	o	0.623	0.445	1.400	7	1123	5	1123	0.774	1	P17898, P25694, P29704, P40312, P47008, P53860, Q01574
Aminotransferase	o	0.980	0.712	1.375	11	1123	8	1123	0.646	1	P07991, P14742, P23542, P33330, P38891, P47039, P47176, P48015, P52893, P53090, Q01802
Pyridoxal phosphate	o	2.315	1.692	1.368	26	1123	19	1123	0.366	1	P00927, P00931, P06106, P06738, P07991, P09950, P16120, P23542, P25374, P25379, P31373, P32582, P33330, P37291, P37292, P37303, P38197, P38891, P40970, P47039, P47176, P49095, P52893, P53090, Q01802, Q04792
Spliceosome	o	1.336	0.980	1.364	15	1123	11	1123	0.555	1	P20053, P28004, P32639, P33411, P46947, P53854, P53905, Q00916, Q02775, Q03338, Q04693, Q06406, Q06411, Q07478, Q12309
Aminoacyl-tRNA synthetase	o	2.137	1.603	1.333	24	1123	18	1123	0.436	1	P00958, P04801, P04802, P04803, P07263, P07284, P07806, P09436, P13188, P15180, P15624, P15625, P26637, P36421, P38088, P38705, P38707, P38708, P40825, P46655, P48525, P53852, Q05506, Q12109
TPR repeat	o	1.069	0.801	1.333	12	1123	9	1123	0.662	1	P07213, P09798, P12945, P14922, P15705, P33313, P47133, P53691, P89105, Q03690, Q06103, Q12118
Endonuclease	o	0.712	0.534	1.333	8	1123	6	1123	0.79	1	P0C2I9, P17255, P26793, P33309, Q02555, Q03434, Q06224, Q08162
One-carbon metabolism	o	0.712	0.534	1.333	8	1123	6	1123	0.79	1	P07245, P09440, P10659, P19358, P37291, P37292, P39954, Q02046
Heme biosynthesis	o	0.356	0.267	1.333	4	1123	3	1123	1	1	P09950, P16622, P40012, Q07540
tRNA-binding	o	0.356	0.267	1.333	4	1123	3	1123	1	1	P15565, P38205, P40825, P46672
Exosome	o	0.356	0.267	1.333	4	1123	3	1123	1	1	P38801, P48240, Q08162, Q12149
Coiled coil	o	7.213	5.432	1.328	81	1123	61	1123	0.0992	0.89	P06843, P12945, P14907, P15108, P17536, P17891, P22203, P23255, P25343, P25357, P25582, P25588, P31539, P32380, P32447, P32457, P32468, P32521, P32558, P32563, P32892, P33416, P34216, P34237, P35817, P36015, P36049, P36080, P36112, P38129, P38249, P38934, P38961, P39705, P40005, P40457, P40505, P40961, P43579, P43586, P43609, P47037, P50105, P53075, P53168, P53192, P53261, P53267, P53854, P53865, P69771, Q02455, Q02725, Q02792, Q03388, Q03750, Q03761, Q03833, Q04003, Q04031, Q04347, Q04697, Q04947, Q05021, Q05040, Q05166, Q06344, Q06440, Q06493, Q06506, Q06629, Q06631, Q06671, Q06704, Q07457, Q08179, Q08245, Q12495, Q12499, Q12514, Q3E705
Transit peptide	o	10.864	8.281	1.312	122	1123	93	1123	0.0444	0.502	P00427, P00447, P00830, P00890, P00927, P04037, P05626, P06168, P07246, P07251, P07256, P07257, P07263, P07275, P07342, P07806, P08417, P09440, P09457, P09624, P09950, P0C5N3, P10507, P11914, P12687, P12695, P12887, P15424, P15565, P16387, P16451, P16622, P17505, P17695, P19262, P19414, P19882, P19955, P20967, P21269, P21560, P21954, P22354, P23180, P25039, P25372, P25374, P25719, P28239, P28241, P28817, P28834, P31378, P32340, P32445, P32454, P32463, P32473, P32787, P33416, P35191, P36013, P36112, P36141, P36147, P36775, P37292, P38071, P38077, P38087, P38088, P38300, P38345, P38523, P38793, P38884, P38891, P39522, P39533, P39726, P39952, P40047, P40053, P40185, P40491, P40495, P40513, P40825, P46367, P46681, P48015, P48360, P49017, P49095, P52893, P53163, P53193, P53219, P53312, P53318, P53598, P53875, Q00711, Q01163, Q01217, Q01802, Q01852, Q01926, Q02486, Q02776, Q04401, Q04728, Q05779, Q06405, Q06493, Q07540, Q08179, Q08742, Q08822, Q12122, Q12166, Q12480
Purine biosynthesis	o	1.158	0.890	1.300	13	1123	10	1123	0.676	1	P07244, P07245, P09440, P27616, P38009, P38625, P38972, P50094, P50095, P54113, P80210, Q02046, Q05911
Meiosis	o	0.801	0.623	1.286	9	1123	7	1123	0.803	1	P21576, P33309, P36124, P38086, P39073, P53865, Q05812, Q12363, Q12508
RNA-binding	o	8.994	7.035	1.278	101	1123	79	1123	0.102	0.893	P04147, P04456, P05750, P05755, P06105, P06634, P07260, P0C0W9, P0C2I9, P0CX35, P0CX45, P0CX47, P0CX53, P0CX55, P10080, P10081, P10664, P15424, P15565, P15646, P16521, P20424, P20447, P20448, P20449, P21269, P22147, P23301, P24783, P25555, P25567, P26321, P27476, P28241, P28834, P29468, P32324, P32342, P32495, P32892, P33322, P33399, P34167, P36009, P36036, P36084, P37838, P38112, P38199, P38205, P38687, P38801, P38805, P38996, P39517, P39935, P40018, P40693, P40825, P41814, P42073, P46672, P48240, P48525, P49166, P49687, P53063, P53072, P53254, P53617, P53725, P53741, P53743, P53883, P53905, P53927, P89886, Q00916, Q01560, Q02555, Q03434, Q03532, Q04067, Q04217, Q06106, Q06218, Q06287, Q06344, Q06406, Q07478, Q08162, Q08208, Q08925, Q12080, Q12149, Q12159, Q12186, Q12389, Q12754, Q99216, Q99383
Zinc-finger	o	3.473	2.760	1.258	39	1123	31	1123	0.395	1	P05759, P07248, P09064, P0C2I9, P0CX25, P13382, P15436, P19812, P21951, P22138, P25491, P29055, P29056, P32432, P35191, P35997, P36053, P36124, P39010, P39956, P40151, P41696, P43609, P49166, P53940, Q02336, Q02775, Q03012, Q03434, Q03833, Q04545, Q04673, Q04779, Q05580, Q06053, Q07457, Q08422, Q08923, Q12186
Chromosome	o	2.226	1.781	1.250	25	1123	20	1123	0.547	1	P02293, P02309, P04911, P11632, P11633, P17106, P25555, P29539, P32504, P32558, P33322, P38198, P38199, P38827, P38859, P38961, P40161, P40553, P47037, P53148, P53168, P53267, P53551, P61830, Q12692
Branched-chain amino acid biosynthesis	o	0.890	0.712	1.250	10	1123	8	1123	0.814	1	P00927, P06168, P06208, P07264, P07342, P31116, P38891, P39522, P47176, Q12166
Nucleosome core	o	0.445	0.356	1.250	5	1123	4	1123	1	1	P02293, P02309, P04911, P61830, Q12692
Threonine biosynthesis	o	0.445	0.356	1.250	5	1123	4	1123	1	1	P10869, P13663, P16120, P17423, P31116
Amyloid	o	0.445	0.356	1.250	5	1123	4	1123	1	1	P05030, P05453, P14922, P32432, Q08972
Prion	o	0.445	0.356	1.250	5	1123	4	1123	1	1	P05030, P05453, P14922, P32432, Q08972
Histidine biosynthesis	o	0.445	0.356	1.250	5	1123	4	1123	1	1	P00498, P00815, P07245, P09440, P40545
Antioxidant	o	0.445	0.356	1.250	5	1123	4	1123	1	1	P00445, P34227, P34760, P38013, P40553
Lysine biosynthesis	o	0.445	0.356	1.250	5	1123	4	1123	1	1	P13663, P39533, P40495, P48570, Q12122
Ligase	o	4.987	4.007	1.244	56	1123	45	1123	0.309	1	P00958, P03965, P04801, P04802, P04803, P07244, P07245, P07259, P07263, P07284, P07806, P09436, P09440, P13188, P14682, P15180, P15624, P15625, P15731, P19812, P22515, P26637, P27616, P28263, P28274, P30624, P32288, P32327, P36421, P38088, P38137, P38625, P38705, P38707, P38708, P38972, P39002, P40506, P40825, P46655, P48525, P49089, P52488, P52910, P53312, P53598, P53852, P80210, Q00955, Q01574, Q02159, Q03280, Q05506, Q05580, Q07457, Q12109
Stress response	o	3.206	2.582	1.241	36	1123	29	1123	0.45	1	P02829, P09435, P10080, P10591, P10592, P11484, P15108, P15705, P15731, P15992, P16474, P19882, P22943, P25491, P27476, P28777, P31539, P31688, P32432, P32449, P32589, P32590, P33416, P35191, P40106, P40489, P40491, P53193, P53889, Q00055, Q00764, Q06704, Q08422, Q12329, Q12449, Q99287
Acyltransferase	o	1.425	1.158	1.231	16	1123	13	1123	0.709	1	P08465, P09950, P12695, P19262, P33333, P39010, P39979, P40970, P41338, P43577, P53072, Q02908, Q03330, Q04728, Q08689, Q12447
Repeat	o	14.159	11.576	1.223	159	1123	130	1123	0.0775	0.763	P00927, P02829, P03965, P04147, P04710, P05453, P06105, P06787, P07213, P07248, P07259, P07278, P09798, P09959, P10080, P10869, P10962, P12945, P13393, P13712, P14742, P14906, P14907, P14922, P15108, P15705, P15891, P16521, P16649, P17442, P17536, P17967, P18239, P19262, P19659, P20053, P20676, P21538, P22035, P22082, P22137, P22515, P22579, P25302, P25357, P25365, P25491, P25555, P25631, P25694, P27476, P27692, P28707, P29055, P29056, P31383, P31539, P32074, P32432, P32499, P32521, P32565, P32599, P32639, P32657, P32776, P33203, P33302, P33313, P33322, P33416, P33417, P33750, P33892, P34167, P34216, P35169, P35191, P35194, P35817, P36047, P37838, P38011, P38087, P38129, P38144, P38199, P38695, P38850, P38988, P39004, P39010, P39109, P39678, P39705, P39956, P39968, P40024, P40055, P40069, P40161, P41696, P41805, P41810, P41811, P43535, P43583, P47077, P47120, P48234, P49573, P49687, P50094, P50095, P53141, P53235, P53551, P53622, P53691, P53883, P53940, P80428, P89105, Q01454, Q01560, Q02206, Q02486, Q02792, Q02821, Q02908, Q03195, Q03690, Q03774, Q03790, Q03833, Q04002, Q04013, Q04225, Q04545, Q04660, Q04779, Q05022, Q05166, Q06053, Q06106, Q06214, Q06440, Q06506, Q06679, Q08686, Q08925, Q08972, Q12118, Q12186, Q12220, Q12309, Q12363, Q12751, Q99383
Iron-sulfur	o	0.980	0.801	1.222	11	1123	9	1123	0.823	1	P07264, P13382, P15436, P19414, P21951, P25374, P38859, P39522, P39533, Q02908, Q08822
Chaperone	o	3.562	2.939	1.212	40	1123	33	1123	0.476	1	P02829, P06101, P12612, P14906, P15108, P19882, P21560, P25491, P28707, P31539, P32447, P32527, P32589, P33313, P33416, P35191, P38345, P38523, P38636, P38910, P39077, P39078, P39079, P40005, P40019, P40046, P40161, P40202, P40413, P47079, P48606, P52553, P53193, P53940, Q04401, Q07914, Q12118, Q12287, Q12449, Q12513
Peroxidase	o	0.534	0.445	1.200	6	1123	5	1123	1	1	P06115, P34227, P34760, P38013, P40553, P40581
Aromatic amino acid biosynthesis	o	0.534	0.445	1.200	6	1123	5	1123	1	1	P00899, P00931, P00937, P08566, P28777, P32449
Thiamine pyrophosphate	o	0.534	0.445	1.200	6	1123	5	1123	1	1	P06169, P07342, P16387, P20967, P23254, P32473
Thiol protease	o	0.534	0.445	1.200	6	1123	5	1123	1	1	P25037, P32571, P43588, Q01476, Q02724, Q03792
S-adenosyl-L-methionine	o	1.603	1.336	1.200	18	1123	15	1123	0.726	1	P05374, P15565, P15646, P25087, P25582, P25627, P38074, P38205, P38793, P38827, P38961, P40493, P49017, Q02908, Q04371, Q06287, Q12314, Q12504
