id_	over/under	perc_associated_foreground	perc_associated_background	fold_enrichment_foreground_2_background	foreground_count	foreground_n	background_count	background_n	p_uncorrected	FDR	description	ANs_foreground
....GO:0006974	o	7.385	4.257	1.735	85	1151	49	1151	0.00174	0.0845	cellular response to DNA damage stimulus	P02293, P04911, P05750, P06778, P11632, P11633, P12887, P13382, P14164, P15436, P15790, P15873, P17157, P17629, P18480, P18888, P19454, P21951, P21965, P22082, P22515, P22579, P22936, P25588, P26793, P29295, P29311, P31378, P32558, P32597, P32776, P32787, P33417, P34730, P34760, P35169, P35187, P35817, P36010, P38086, P38351, P38630, P38806, P38850, P38859, P38920, P39705, P40151, P40154, P40316, P40348, P40562, P43572, P43583, P43609, P46957, P47037, P47110, P48570, P49687, P53064, P53549, P53552, P60010, P61830, P80428, Q00416, Q01454, Q01939, Q02336, Q02455, Q03940, Q04002, Q04383, Q04673, Q05543, Q06337, Q06624, Q07457, Q07478, Q07794, Q08649, Q12114, Q12159, Q12433
....GO:0016192	u	4.257	7.298	0.583	49	1151	84	1151	0.00228	0.107	vesicle-mediated transport	P01123, P06787, P07560, P11076, P17536, P17891, P21576, P22137, P22217, P23292, P24280, P25343, P25365, P25369, P32074, P32521, P32571, P32939, P33891, P34216, P34237, P35723, P36015, P36018, P36149, P38116, P38153, P40531, P41810, P41811, P43555, P43621, P46956, P47008, P53079, P53192, P53252, P53622, P60010, P69771, Q02201, Q03048, Q06631, Q06704, Q07878, Q12114, Q12154, Q12230, Q12402
.........GO:0004402	o	1.651	0.348	4.750	19	1151	4	1151	0.00248	0.11	histone acetyltransferase activity	P32494, P38806, P39979, P40963, P43572, P53165, P60010, P80428, Q02336, Q02908, Q03330, Q03761, Q04003, Q06592, Q07794, Q08649, Q12060, Q12433, Q99314
...GO:0044431	u	2.172	4.431	0.490	25	1151	51	1151	0.00329	0.131	Golgi apparatus part	P01123, P17891, P22137, P22217, P24280, P25365, P32074, P34237, P35169, P36149, P38116, P39010, P40531, P41810, P41811, P43555, P43621, P47124, P53079, P53192, P53622, Q06673, Q06704, Q12114, Q12402
....GO:0048523	o	13.293	9.383	1.417	153	1151	108	1151	0.00376	0.146	negative regulation of cellular process	P00445, P02293, P02309, P02994, P04911, P06105, P06786, P06843, P07248, P07259, P07261, P07278, P09798, P0CT05, P10080, P10591, P10592, P11412, P12383, P13574, P14120, P14164, P14922, P15873, P15891, P16521, P16649, P17106, P17157, P17442, P19263, P19659, P20050, P20134, P21951, P21957, P22147, P22579, P23615, P24280, P25357, P25588, P25694, P27692, P28263, P28495, P29311, P29539, P31111, P31383, P31385, P32447, P32471, P32499, P32527, P32561, P32597, P32657, P32833, P33417, P34161, P34730, P34760, P35169, P35187, P35817, P36124, P38011, P38074, P38140, P38144, P38199, P38255, P38266, P38351, P38431, P38827, P38850, P38911, P38931, P39001, P39015, P39073, P39517, P39520, P39521, P39705, P39956, P39960, P40075, P40161, P40316, P40348, P40457, P40466, P40489, P40505, P40562, P40961, P40963, P41813, P42073, P45978, P53044, P53064, P53082, P53148, P53184, P53252, P53272, P53297, P53551, P53718, P53860, P53973, Q01560, Q02336, Q02455, Q02792, Q02961, Q03012, Q03063, Q03373, Q03661, Q03833, Q04003, Q04004, Q04116, Q04779, Q05543, Q06205, Q06411, Q06440, Q06449, Q06629, Q06697, Q07457, Q07458, Q07478, Q07794, Q08649, Q08923, Q08981, Q12114, Q12156, Q12230, Q12345, Q12363, Q12508, Q12514, Q12692, Q2V2Q1, Q99314
....GO:0016758	u	0.348	1.564	0.222	4	1151	18	1151	0.00417	0.157	transferase activity, transferring hexosyl groups	P06738, P46964, P47124, Q00764
..GO:0043228	o	20.591	15.899	1.295	237	1151	183	1151	0.0042	0.157	non-membrane-bounded organelle	P00358, P00359, P00360, P02994, P04147, P05453, P05755, P05756, P06168, P06634, P06778, P07149, P07251, P07253, P07260, P07264, P07283, P07284, P09624, P0CX33, P0CX37, P10080, P10081, P10659, P10962, P10964, P11632, P11633, P12385, P12945, P14066, P15424, P15646, P15992, P16140, P16387, P16521, P17106, P19262, P19358, P19414, P19882, P19955, P20050, P20447, P20448, P20449, P20967, P21560, P21954, P22147, P23301, P24783, P25087, P25379, P25443, P25555, P25567, P25582, P25588, P25627, P26793, P27476, P28777, P28817, P28834, P29295, P29311, P29547, P30624, P30822, P32324, P32445, P32457, P32468, P32473, P32497, P32504, P32527, P32582, P32583, P32787, P32861, P32892, P33201, P33322, P33333, P33399, P33750, P33892, P34167, P34247, P35187, P35194, P35691, P36008, P36009, P36049, P36080, P36160, P36421, P37838, P38112, P38139, P38198, P38199, P38205, P38249, P38333, P38779, P38805, P38828, P38882, P38911, P38961, P39517, P39520, P39521, P39676, P39715, P39730, P39744, P39935, P40007, P40010, P40055, P40069, P40078, P40160, P40161, P40316, P40348, P40470, P40493, P40693, P42846, P43535, P43586, P45978, P46367, P46655, P46672, P47006, P47037, P47047, P47077, P47089, P48164, P48234, P48240, P51979, P52910, P53136, P53148, P53163, P53168, P53235, P53252, P53254, P53261, P53276, P53297, P53313, P53598, P53741, P53742, P53743, P53860, P53883, P53905, P53914, P53927, P89886, Q01080, Q01454, Q01560, Q01662, Q02486, Q02555, Q02724, Q02892, Q03048, Q03195, Q03280, Q03532, Q03690, Q03973, Q04013, Q04031, Q04067, Q04217, Q04225, Q04500, Q04600, Q05022, Q05775, Q05942, Q06106, Q06177, Q06205, Q06214, Q06218, Q06287, Q06344, Q06406, Q06411, Q06506, Q06508, Q06511, Q06631, Q06679, Q06685, Q07478, Q08162, Q08208, Q08687, Q08689, Q08746, Q08925, Q08965, Q12080, Q12136, Q12149, Q12220, Q12247, Q12306, Q12329, Q12389, Q12460, Q12499, Q12513, Q12514, Q12754, Q3E705, Q99207, Q99216, Q99383
...GO:0031982	u	1.043	2.693	0.387	12	1151	31	1151	0.00499	0.178	vesicle	P01123, P07560, P21576, P22943, P32074, P32571, P36015, P36018, P41810, P43555, P53141, P69771
......GO:0010558	o	7.993	5.039	1.586	92	1151	58	1151	0.00517	0.183	negative regulation of macromolecule biosynthetic process	P00445, P02293, P02309, P04911, P06105, P06843, P07261, P09798, P10080, P11412, P13574, P14164, P14922, P15873, P16649, P17106, P17157, P19263, P19659, P20134, P21957, P22147, P22579, P23615, P25588, P25694, P27692, P29311, P29539, P31385, P32447, P32499, P32561, P32597, P32657, P32833, P33417, P34161, P38011, P38074, P38140, P38255, P38351, P38431, P38827, P38931, P39001, P39073, P39517, P39520, P39521, P39705, P39956, P40075, P40161, P40466, P40489, P40505, P40963, P41813, P45978, P53044, P53064, P53082, P53184, P53272, P53718, P53973, Q01560, Q02336, Q02792, Q02961, Q03012, Q03063, Q03373, Q03661, Q03833, Q04003, Q04116, Q04779, Q06629, Q07457, Q07458, Q07478, Q07794, Q08649, Q12345, Q12363, Q12514, Q12692, Q2V2Q1, Q99314
..GO:0140097	o	3.562	1.651	2.158	41	1151	19	1151	0.00557	0.195	catalytic activity, acting on DNA	P05750, P06778, P06786, P0C2I9, P12887, P13382, P15436, P16550, P18480, P18888, P21951, P22082, P22134, P22936, P26793, P31378, P32591, P32597, P32832, P35187, P35189, P38086, P38121, P38859, P40562, P43609, P46957, P47110, P51979, P53628, P53946, P80428, Q00416, Q02206, Q03434, Q03940, Q04344, Q05123, Q06218, Q06639, Q12472
..GO:0030427	u	0.956	2.520	0.379	11	1151	29	1151	0.00598	0.203	site of polarized growth	P06787, P07560, P20449, P23292, P29295, P31383, P34216, P39960, P40075, P53141, Q12434
.....GO:0051172	o	10.078	6.864	1.468	116	1151	79	1151	0.00692	0.228	negative regulation of nitrogen compound metabolic process	P00445, P02293, P02309, P02994, P04911, P06105, P06843, P07259, P07261, P07278, P09798, P0CT05, P10080, P11412, P13574, P14120, P14164, P14922, P15873, P16521, P16649, P17106, P17157, P17442, P19263, P19659, P20134, P21957, P22147, P22579, P23615, P24280, P25588, P25694, P27692, P29311, P29539, P31111, P31385, P32447, P32499, P32561, P32597, P32657, P32833, P33417, P34161, P34730, P35169, P35187, P38011, P38074, P38140, P38199, P38255, P38351, P38431, P38827, P38931, P39001, P39073, P39517, P39520, P39521, P39705, P39956, P40075, P40161, P40466, P40489, P40505, P40562, P40961, P40963, P41813, P42073, P45978, P53044, P53064, P53082, P53184, P53252, P53272, P53297, P53551, P53718, P53973, Q01560, Q02336, Q02792, Q02961, Q03012, Q03063, Q03373, Q03661, Q03833, Q04003, Q04116, Q04779, Q06205, Q06411, Q06629, Q06697, Q07457, Q07458, Q07478, Q07794, Q08649, Q08981, Q12230, Q12345, Q12363, Q12514, Q12692, Q2V2Q1, Q99314
..GO:0071554	u	1.043	2.520	0.414	12	1151	29	1151	0.0108	0.324	cell wall organization or biogenesis	P00445, P29952, P35169, P38689, P53075, P60010, Q02159, Q03868, Q06673, Q08245, Q12114, Q12265
.......GO:0004386	o	3.128	1.477	2.118	36	1151	17	1151	0.0117	0.34	helicase activity	P06634, P10081, P15424, P20095, P20447, P20448, P20449, P22082, P24384, P24783, P32597, P32639, P32657, P32892, P35187, P36009, P38086, P38112, P38144, P38859, P39517, P40562, P41896, P47047, P51979, P53946, P80428, Q00416, Q03532, Q03940, Q04217, Q05471, Q06218, Q06411, Q07478, Q12389
....GO:0006643	u	0.174	1.043	0.167	2	1151	12	1151	0.0127	0.364	membrane lipid metabolic process	P32463, P40970
...GO:0045229	u	1.043	2.433	0.429	12	1151	28	1151	0.0157	0.441	external encapsulating structure organization	P00445, P29952, P35169, P38689, P53075, P60010, Q02159, Q03868, Q06673, Q08245, Q12114, Q12265
.......GO:1902275	o	2.520	1.129	2.231	29	1151	13	1151	0.0184	0.505	regulation of chromatin organization	P06843, P07248, P22579, P23293, P23615, P25694, P31385, P32447, P32561, P32657, P35817, P38144, P38255, P38351, P38827, P40466, P40489, P40505, P40517, P41813, P53064, P53551, P53973, P89105, Q02336, Q06205, Q06697, Q08923, Q12363
........GO:0042623	o	6.950	4.605	1.509	80	1151	53	1151	0.0199	0.527	ATPase activity, coupled	P00830, P02829, P05030, P05626, P06634, P06786, P07251, P09457, P10081, P13587, P15108, P15424, P16140, P16861, P16862, P17255, P18480, P18888, P20095, P20447, P20448, P20449, P22082, P22203, P24384, P24783, P25371, P30902, P31412, P31539, P32563, P32591, P32597, P32639, P32657, P32776, P32832, P32892, P33297, P33298, P33299, P33302, P35187, P35189, P36009, P36775, P38077, P38086, P38112, P38630, P38859, P39109, P39111, P39517, P39986, P40151, P40327, P40348, P41807, P43609, P47047, P48836, P51979, P53549, P53628, P53946, P80428, Q00416, Q01939, Q02206, Q03532, Q03940, Q04217, Q05123, Q06218, Q06405, Q06411, Q06639, Q07478, Q12389
...GO:0097502	u	0.087	0.782	0.111	1	1151	9	1151	0.0212	0.554	mannosylation	P47124
..GO:0007165	u	1.998	3.649	0.548	23	1151	42	1151	0.0228	0.587	signal transduction	P01120, P06101, P06105, P11076, P21957, P23292, P29295, P29311, P34216, P34730, P35169, P38011, P38116, P39015, P39960, P40317, P43585, P47075, Q01389, Q02725, Q12154, Q12434, Q2V2Q1
...GO:0043413	u	0.434	1.390	0.313	5	1151	16	1151	0.0259	0.652	macromolecule glycosylation	P07283, P14742, P29952, P41940, P46964
...GO:0044433	u	1.390	2.780	0.500	16	1151	32	1151	0.0276	0.683	cytoplasmic vesicle part	P07560, P17891, P22137, P32074, P32521, P32571, P35169, P36149, P38153, P39010, P41810, P41811, P43621, P53622, P69771, Q12114
....GO:0016197	u	0.608	1.651	0.368	7	1151	19	1151	0.0281	0.687	endosomal transport	P01123, P22137, P32939, P36018, P41811, P69771, Q07878
....GO:0005759	o	4.344	2.693	1.613	50	1151	31	1151	0.0411	0.905	mitochondrial matrix	P00447, P00890, P04803, P07246, P07275, P08417, P09950, P0CS91, P10507, P11914, P15424, P17505, P19414, P19882, P21269, P25719, P28834, P32340, P33416, P35191, P36013, P36775, P38071, P38088, P38345, P38523, P38698, P38705, P38793, P38891, P38910, P39676, P40047, P40185, P40491, P40513, P42940, P46681, P48360, P48525, P49017, P52893, P53193, Q01217, Q01802, Q04401, Q04728, Q07540, Q12480, Q6Q560
..GO:0140098	o	7.732	5.560	1.391	89	1151	64	1151	0.0443	0.942	catalytic activity, acting on RNA	P00958, P04801, P04802, P04803, P06634, P07263, P07284, P07806, P09436, P0C2I9, P10081, P10964, P13188, P15180, P15424, P15565, P15624, P15625, P15646, P17890, P20095, P20447, P20448, P20449, P21269, P22138, P22147, P24384, P24783, P25441, P25582, P25627, P26637, P28004, P28320, P32639, P32892, P33309, P33411, P36009, P36421, P38088, P38112, P38205, P38336, P38705, P38707, P38708, P38793, P38961, P39517, P40493, P40562, P40825, P41812, P41814, P46655, P46669, P47006, P47047, P48525, P51979, P53063, P53833, P53852, Q00416, Q01080, Q02555, Q02775, Q02792, Q03434, Q03532, Q03774, Q04004, Q04217, Q05506, Q05635, Q06053, Q06218, Q06224, Q06287, Q06411, Q07478, Q08162, Q12109, Q12149, Q12309, Q12389, Q12472
..GO:0022892	u	4.518	6.429	0.703	52	1151	74	1151	0.0539	1	substrate-specific transporter activity	P00427, P00830, P04037, P04710, P04840, P05030, P05626, P07213, P07251, P07256, P07257, P09457, P13587, P14906, P16140, P16861, P16862, P17255, P18239, P22203, P24280, P25297, P30822, P30902, P31412, P31787, P32563, P32901, P38077, P38087, P38142, P38695, P38931, P38988, P39004, P39109, P39111, P39952, P39986, P40069, P41807, P47008, P48836, P49573, P52918, P53860, Q01926, Q02201, Q02776, Q02821, Q04013, Q06405
....GO:0016050	u	0.782	1.738	0.450	9	1151	20	1151	0.0598	1	vesicle organization	P01123, P07560, P24280, P29295, P32571, P32602, P36015, P36018, P39968
....GO:0046486	u	0.782	1.738	0.450	9	1151	20	1151	0.0598	1	glycerolipid metabolic process	P05374, P06787, P17898, P24280, P32190, P33333, P36151, P39954, P47008
......GO:0070784	o	1.216	0.434	2.800	14	1151	5	1151	0.0625	1	regulation of growth of unicellular organism as a thread of attached cells	P01120, P16649, P18412, P18480, P19659, P20134, P22082, P38255, P40069, P40466, P40505, P41813, Q03063, Q03373
.GO:0005576	u	0.608	1.477	0.412	7	1151	17	1151	0.0625	1	extracellular region	P05694, P10591, P10592, P31787, P32454, Q06350, Q12335
...GO:0044437	u	2.346	3.736	0.628	27	1151	43	1151	0.0679	1	vacuolar part	P02994, P10591, P10592, P16140, P16861, P16862, P17255, P21560, P21576, P22203, P31412, P32563, P32939, P35169, P38142, P38624, P39109, P39111, P39925, P39968, P40046, P41807, P43585, P47075, P48836, Q02725, Q12408
..GO:0044459	u	0.869	1.825	0.476	10	1151	21	1151	0.0689	1	plasma membrane part	P00925, P17891, P22137, P22147, P25297, P35169, P39986, P43603, Q00711, Q08245
....GO:0005773	u	0.869	1.825	0.476	10	1151	21	1151	0.0689	1	vacuole	P00924, P00925, P05453, P22217, P25087, P25375, P32563, P32939, P36015, P37302
.....GO:0042886	u	10.860	13.380	0.812	125	1151	154	1151	0.0736	1	amide transport	P00830, P00890, P01123, P02829, P04037, P04710, P04840, P05750, P06787, P07213, P07251, P07283, P07560, P09435, P0CH08, P0CS91, P0CT05, P10507, P10591, P10592, P11076, P11484, P11914, P14832, P14906, P14907, P15705, P16474, P17891, P19414, P19882, P20424, P20676, P21576, P22137, P22217, P24280, P25365, P25491, P25627, P25694, P28834, P30822, P32074, P32342, P32499, P32527, P32602, P32901, P32939, P33331, P33891, P35723, P36018, P36112, P36147, P38116, P38153, P38264, P38276, P38523, P38687, P38805, P38879, P38883, P38910, P39010, P39705, P39715, P39925, P39952, P40010, P40024, P40069, P40202, P40517, P41810, P41811, P41920, P42949, P43583, P43621, P47008, P47077, P49687, P52918, P53044, P53079, P53193, P53313, P53622, P53742, P60010, P69771, Q00055, Q00955, Q01852, Q02455, Q02642, Q02776, Q02821, Q02892, Q02908, Q03048, Q03195, Q03790, Q05166, Q05905, Q06338, Q06631, Q06671, Q06673, Q06704, Q07540, Q07878, Q07914, Q08746, Q12080, Q12114, Q12118, Q12154, Q12287, Q12363, Q12499, Q12751
.....GO:0098732	o	1.043	0.348	3.000	12	1151	4	1151	0.0758	1	macromolecule deacylation	P14832, P22579, P25357, P31385, P32561, P36124, P38255, P40505, P53973, Q04779, Q06629, Q07458
....GO:0051276	o	4.605	3.128	1.472	53	1151	36	1151	0.0831	1	chromosome organization	P06105, P06778, P06786, P15108, P15873, P20050, P20676, P21951, P21965, P25502, P25555, P25588, P26793, P29539, P31111, P32499, P32787, P35187, P38086, P38121, P38144, P38199, P38801, P38827, P38859, P39015, P39705, P40151, P40316, P40348, P40457, P40562, P47037, P49687, P51979, P53297, P53551, P53946, P80428, Q00416, Q01454, Q02455, Q02486, Q03707, Q03940, Q03973, Q04002, Q06218, Q07457, Q07794, Q12149, Q12345, Q6Q547
..GO:0022857	u	3.736	5.300	0.705	43	1151	61	1151	0.0876	1	transmembrane transporter activity	P00427, P00830, P04037, P04710, P04840, P05030, P05626, P07213, P07251, P07256, P07257, P09457, P13587, P16140, P16861, P16862, P17255, P18239, P22203, P25297, P25371, P30902, P31412, P32563, P33302, P38077, P38087, P38142, P38695, P38931, P38988, P39004, P39109, P39111, P39952, P39986, P41807, P48836, P49573, Q01926, Q02776, Q04013, Q06405
...GO:0005618	u	0.608	1.390	0.438	7	1151	16	1151	0.0915	1	cell wall	P00358, P00359, P00360, P10591, P10592, P14540, P32457
...GO:0016810	o	2.433	1.390	1.750	28	1151	16	1151	0.093	1	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	P00815, P03965, P07245, P07259, P09440, P09959, P20051, P22579, P25302, P28273, P31385, P32561, P38009, P38255, P39678, P40489, P40505, P47039, P53184, P53438, P53909, P53973, P54113, Q02046, Q02890, Q06629, Q12178, Q9URQ3
.....GO:0034220	u	2.606	3.910	0.667	30	1151	45	1151	0.0997	1	ion transmembrane transport	P00427, P00830, P04037, P04840, P05030, P05626, P07251, P07256, P07257, P09457, P13587, P16140, P16861, P16862, P17255, P22203, P25297, P30902, P31412, P32563, P38077, P39111, P39952, P39986, P41807, P48836, P49573, Q01926, Q04013, Q06405
...GO:0006520	o	10.426	8.341	1.250	120	1151	96	1151	0.1	1	cellular amino acid metabolic process	P00330, P00331, P00498, P00815, P00890, P00899, P00927, P00931, P00937, P00958, P03965, P04801, P04802, P04803, P05694, P06106, P06168, P06169, P06208, P07245, P07246, P07259, P07262, P07263, P07264, P07275, P07284, P07342, P07806, P07991, P08465, P08566, P09436, P09440, P09624, P09959, P10659, P10869, P13188, P13663, P14742, P15180, P15624, P15625, P16120, P17423, P19262, P19358, P21954, P23542, P25302, P25379, P25502, P26637, P28241, P28274, P28777, P28817, P28834, P31116, P31373, P32264, P32288, P32389, P32449, P32582, P32771, P33327, P33330, P36013, P36421, P37291, P37292, P37303, P38088, P38625, P38705, P38707, P38708, P38787, P38891, P38972, P39522, P39533, P39678, P39726, P39954, P39979, P40185, P40489, P40493, P40495, P40510, P40545, P40825, P46655, P46672, P47039, P47176, P48015, P48525, P48570, P49089, P49095, P52893, P53090, P53438, P53852, P54885, Q01217, Q01802, Q02196, Q04728, Q04792, Q05506, Q06178, Q08822, Q12109, Q12122, Q12166
..GO:0022402	o	8.254	6.429	1.284	95	1151	74	1151	0.11	1	cell cycle process	P01120, P02309, P06101, P06105, P06778, P06786, P06787, P07560, P09959, P13382, P14682, P14832, P15873, P17157, P20050, P21951, P21965, P22035, P22579, P23615, P24280, P25302, P25588, P25694, P29295, P29311, P31111, P31383, P32380, P32457, P32468, P32499, P32504, P32521, P32561, P32597, P32833, P34161, P34730, P35187, P38086, P38144, P38351, P38803, P38827, P38833, P38850, P38859, P38883, P38911, P38920, P39678, P40316, P40348, P40457, P40466, P40489, P40517, P41813, P41920, P47037, P48510, P51979, P53075, P53141, P53148, P53168, P53261, P53267, P53718, P53865, P53927, P54113, P60010, P61830, P89105, Q01448, Q01454, Q02455, Q02647, Q02724, Q03281, Q03707, Q03868, Q04002, Q04116, Q05040, Q05812, Q07457, Q07878, Q08887, Q08981, Q12018, Q12114, Q3E705
...GO:0050790	u	5.734	7.472	0.767	66	1151	86	1151	0.111	1	regulation of catalytic activity	P01120, P01123, P02994, P04147, P07278, P0CT05, P15705, P15873, P16521, P17442, P20424, P21965, P22141, P25365, P25451, P25491, P25694, P28707, P29311, P29547, P32468, P32471, P32499, P32565, P32589, P32590, P32602, P33892, P34730, P35169, P35191, P36008, P36047, P36149, P38011, P38431, P38523, P38801, P39960, P40151, P40202, P40517, P41895, P41920, P43583, P46672, P46784, P53044, P53063, P53165, P53193, P53252, P53743, P53940, Q01389, Q02647, Q06103, Q06411, Q07914, Q07953, Q08981, Q12154, Q12159, Q12230, Q12434, Q12449
...GO:0045184	u	11.295	13.553	0.833	130	1151	156	1151	0.114	1	establishment of protein localization	P00830, P00890, P01123, P02829, P04037, P04710, P04840, P05750, P06787, P07213, P07251, P07283, P07560, P09435, P0CH08, P0CS91, P0CT05, P10507, P10591, P10592, P11076, P11484, P11914, P14832, P14906, P14907, P15705, P16474, P17891, P19414, P19882, P20424, P20676, P21576, P22137, P22217, P24280, P25365, P25491, P25627, P25694, P28834, P30822, P32074, P32342, P32499, P32527, P32602, P32901, P32939, P33331, P33891, P35723, P36018, P36112, P36147, P38116, P38153, P38264, P38276, P38300, P38523, P38687, P38805, P38879, P38883, P38910, P39010, P39705, P39715, P39925, P39952, P40010, P40024, P40069, P40202, P40517, P41810, P41811, P41920, P42949, P43583, P43621, P47008, P47077, P49687, P52918, P53044, P53079, P53192, P53193, P53313, P53622, P53742, P60010, P69771, Q00055, Q00955, Q01852, Q02455, Q02642, Q02776, Q02821, Q02892, Q02908, Q03048, Q03195, Q03790, Q04002, Q05166, Q05905, Q06338, Q06493, Q06631, Q06671, Q06673, Q06704, Q07540, Q07878, Q07914, Q08179, Q08746, Q12080, Q12114, Q12118, Q12154, Q12287, Q12363, Q12499, Q12751
..GO:0032940	u	0.521	1.216	0.429	6	1151	14	1151	0.114	1	secretion by cell	P07560, P17536, P25365, P36015, P60010, Q02201
...GO:0031984	u	0.782	1.564	0.500	9	1151	18	1151	0.12	1	organelle subcompartment	P01123, P17891, P38116, P47008, Q02201, Q04947, Q06673, Q12402, Q99287
.....GO:0005985	o	0.521	0.087	6.000	6	1151	1	1151	0.124	1	sucrose metabolic process	P09201, P18480, P18888, P22082, P32591, P38158
....GO:0045926	o	0.521	0.087	6.000	6	1151	1	1151	0.124	1	negative regulation of growth	P20134, P39073, P40466, P41813, Q03063, Q03373
.....GO:0006405	o	5.126	3.736	1.372	59	1151	43	1151	0.128	1	RNA export from nucleus	P02994, P05750, P07280, P0C0X0, P0CH08, P0CX55, P11484, P14907, P17629, P20449, P20676, P23615, P25443, P25555, P25627, P26783, P30822, P32499, P32527, P36036, P38074, P38333, P38805, P38883, P39705, P39715, P39938, P40010, P40024, P40040, P40457, P40517, P41920, P46784, P46947, P47047, P47077, P49687, P52918, P53165, P53254, P53276, P53313, P53552, P53742, Q01560, Q01855, Q02455, Q02892, Q03195, Q05166, Q06338, Q06505, Q07478, Q08162, Q08746, Q08972, Q12080, Q12159
....GO:0065003	o	13.814	11.642	1.187	159	1151	134	1151	0.133	1	macromolecular complex assembly	P01123, P02309, P02407, P02829, P04037, P04449, P04456, P05030, P05317, P05626, P05739, P05759, P06778, P07253, P07280, P09064, P0C0W9, P0C0X0, P0CH08, P0CX47, P0CX53, P11632, P11633, P13393, P13712, P14126, P15108, P16140, P16862, P17891, P19659, P19882, P20095, P21560, P21576, P22137, P23255, P23615, P24384, P24783, P25343, P25491, P26321, P26783, P27476, P28004, P28320, P29055, P29056, P32380, P32447, P32457, P32468, P32496, P32504, P32558, P32563, P32565, P32639, P32833, P32892, P32911, P33201, P33297, P33298, P33299, P33411, P34167, P34730, P34760, P35177, P35189, P35997, P36084, P36160, P36775, P38129, P38249, P38282, P38345, P38431, P38768, P38803, P38805, P38883, P38910, P38911, P39517, P39730, P39925, P39935, P39938, P39952, P40005, P40040, P40161, P40327, P40491, P41805, P41895, P41896, P43583, P43588, P45978, P46678, P46784, P47089, P48606, P49167, P50105, P52553, P53040, P53064, P53165, P53193, P53297, P53549, P53551, P53743, P53875, P61830, P80428, P89886, Q01448, Q01855, Q01939, Q02326, Q02647, Q02775, Q02892, Q03750, Q03761, Q03880, Q03940, Q04226, Q04401, Q04600, Q04693, Q04947, Q05021, Q05022, Q05942, Q06106, Q06205, Q06337, Q06411, Q06592, Q06697, Q07953, Q08237, Q12080, Q12287, Q12309, Q12377, Q12389, Q12402, Q12495, Q12513, Q99216
...GO:0097435	u	0.869	1.651	0.526	10	1151	19	1151	0.134	1	supramolecular fiber organization	P17536, P25369, P32599, P43603, P47117, P52553, Q03048, Q05933, Q06440, Q12434
....GO:0008610	u	2.433	3.562	0.683	28	1151	41	1151	0.142	1	lipid biosynthetic process	P05374, P06787, P07149, P08524, P12684, P17898, P19097, P21147, P21957, P25087, P28274, P29704, P32353, P32377, P32462, P32463, P33333, P36151, P38071, P39954, P40075, P40312, P40970, P41338, P53199, P53860, P54839, Q00955
......GO:0008408	o	0.782	0.261	3.000	9	1151	3	1151	0.145	1	3'-5' exonuclease activity	P13382, P15436, P21951, P22936, P46957, P47110, Q08162, Q08237, Q12149
....GO:0019887	u	0.261	0.782	0.333	3	1151	9	1151	0.145	1	protein kinase regulator activity	P07278, P17442, P33892
.....GO:0015711	u	0.956	1.738	0.550	11	1151	20	1151	0.147	1	organic anion transport	P04710, P18239, P24280, P30624, P31787, P32571, P39109, P47008, P53860, Q02201, Q04013
....GO:0006644	u	1.390	2.259	0.615	16	1151	26	1151	0.16	1	phospholipid metabolic process	P05374, P06787, P08524, P17898, P21957, P24280, P28274, P29704, P32377, P32463, P33333, P36151, P39954, P40075, P47008, P53860
....GO:0007034	u	1.043	1.825	0.571	12	1151	21	1151	0.16	1	vacuolar transport	P21576, P24280, P36018, P38116, P38153, P40046, P41811, P43585, P47075, P69771, Q02725, Q07878
....GO:0005783	u	2.433	3.475	0.700	28	1151	40	1151	0.175	1	endoplasmic reticulum	P06105, P08524, P16474, P21957, P25037, P25087, P33891, P35723, P36018, P36149, P38626, P38687, P38934, P40046, P40075, P43577, P43585, P46956, P47075, P53199, Q01574, Q02725, Q03362, Q04947, Q05040, Q06508, Q12402, Q99287
...GO:0000131	u	0.348	0.869	0.400	4	1151	10	1151	0.178	1	incipient cellular bud site	P06787, P07560, P38249, P39960
....GO:0016482	u	0.348	0.869	0.400	4	1151	10	1151	0.178	1	cytosolic transport	P01123, P22137, P32939, P36018
...GO:0033558	o	0.608	0.174	3.500	7	1151	2	1151	0.179	1	protein deacetylase activity	P22579, P31385, P32561, P38255, P40505, P53973, Q06629
..GO:0007117	u	0.174	0.608	0.286	2	1151	7	1151	0.179	1	budding cell bud growth	P17536, P60010
.....GO:0044042	u	0.608	1.216	0.500	7	1151	14	1151	0.187	1	glucan metabolic process	P06738, P16474, P29311, P32861, P34730, P37012, P37898
....GO:0071826	o	6.690	5.300	1.262	77	1151	61	1151	0.188	1	ribonucleoprotein complex subunit organization	P02407, P02829, P04449, P04456, P05317, P05739, P05759, P06634, P07280, P09064, P0C0W9, P0C0X0, P0CH08, P0CX47, P0CX53, P10591, P14126, P15108, P20095, P24384, P24783, P26321, P26783, P27476, P28004, P28320, P31539, P32639, P32892, P32911, P33201, P33309, P33411, P34167, P35997, P36084, P36160, P38249, P38282, P38431, P38768, P38803, P38805, P38883, P39517, P39730, P39935, P39938, P40040, P41805, P45978, P46784, P47089, P49167, P53064, P53297, P53743, P53875, P89886, Q01855, Q02326, Q02775, Q02892, Q03195, Q03940, Q04600, Q04693, Q05022, Q05942, Q06106, Q06411, Q06697, Q07953, Q08237, Q12080, Q12309, Q12389
