# min_ratio=None pval=None
id	enrichment	description	ratio_in_study	ratio_in_pop	p_uncorrected	p_bonferroni	p_holm	p_sidak	p_fdr
GO:0000152	p	nuclear ubiquitin ligase complex	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000153	p	cytoplasmic ubiquitin ligase complex	3/1159	3/1159	1	4.94e+03	1.91e+03	4.82e+03	1
GO:0000154	e	rRNA modification	12/1159	7/1159	0.357	1.77e+03	1.51e+03	1.72e+03	1
GO:0000159	p	protein phosphatase type 2A complex	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000161	p	MAPK cascade involved in osmosensory signaling pathway	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000162	e	tryptophan biosynthetic process	3/1159	2/1159	1	4.94e+03	2.72e+03	4.82e+03	1
GO:0000164	p	protein phosphatase type 1 complex	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000165	p	MAPK cascade	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0000166	e	nucleotide binding	289/1159	246/1159	0.0384	190	181	185	1
GO:0000171	e	ribonuclease MRP activity	3/1159	1/1159	0.625	3.09e+03	2.34e+03	3.01e+03	1
GO:0000172	e	ribonuclease MRP complex	3/1159	1/1159	0.625	3.09e+03	2.34e+03	3.01e+03	1
GO:0000175	p	3'-5'-exoribonuclease activity	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0000176	e	nuclear exosome (RNase complex)	6/1159	4/1159	0.753	3.72e+03	2.53e+03	3.63e+03	1
GO:0000177	p	cytoplasmic exosome (RNase complex)	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0000178	e	exosome (RNase complex)	6/1159	4/1159	0.753	3.72e+03	2.53e+03	3.63e+03	1
GO:0000182	p	rDNA binding	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0000183	e	chromatin silencing at rDNA	5/1159	4/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000184	p	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	6/1159	9/1159	0.606	3e+03	2.29e+03	2.92e+03	1
GO:0000186	e	activation of MAPKK activity	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000209	p	protein polyubiquitination	5/1159	6/1159	1	4.94e+03	1.82e+03	4.82e+03	1
GO:0000217	e	DNA secondary structure binding	4/1159	2/1159	0.687	3.4e+03	2.43e+03	3.31e+03	1
GO:0000220	p	vacuolar proton-transporting V-type ATPase, V0 domain	1/1159	2/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000221	e	vacuolar proton-transporting V-type ATPase, V1 domain	7/1159	6/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000224	p	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000226	p	microtubule cytoskeleton organization	11/1159	11/1159	1	4.94e+03	1.92e+03	4.82e+03	1
GO:0000228	e	nuclear chromosome	6/1159	4/1159	0.753	3.72e+03	2.53e+03	3.63e+03	1
GO:0000229	e	cytoplasmic chromosome	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000243	e	commitment complex	3/1159	2/1159	1	4.94e+03	2.72e+03	4.82e+03	1
GO:0000245	p	spliceosomal complex assembly	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000248	e	C-5 sterol desaturase activity	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000252	e	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000262	e	mitochondrial chromosome	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000266	p	mitochondrial fission	1/1159	2/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000271	p	polysaccharide biosynthetic process	5/1159	10/1159	0.3	1.48e+03	1.29e+03	1.45e+03	1
GO:0000272	p	polysaccharide catabolic process	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0000274	e	mitochondrial proton-transporting ATP synthase, stator stalk	3/1159	2/1159	1	4.94e+03	2.72e+03	4.82e+03	1
GO:0000276	p	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	1/1159	3/1159	0.625	3.09e+03	2.34e+03	3.01e+03	1
GO:0000278	p	mitotic cell cycle	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0000280	e	nuclear division	19/1159	14/1159	0.484	2.39e+03	1.94e+03	2.33e+03	1
GO:0000281	p	mitotic cytokinesis	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0000282	p	cellular bud site selection	3/1159	5/1159	0.726	3.59e+03	2.5e+03	3.5e+03	1
GO:0000287	p	magnesium ion binding	20/1159	21/1159	1	4.94e+03	1.92e+03	4.82e+03	1
GO:0000288	p	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	1/1159	3/1159	0.625	3.09e+03	2.34e+03	3.01e+03	1
GO:0000289	p	nuclear-transcribed mRNA poly(A) tail shortening	1/1159	2/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000290	p	deadenylation-dependent decapping of nuclear-transcribed mRNA	1/1159	3/1159	0.625	3.09e+03	2.34e+03	3.01e+03	1
GO:0000291	p	nuclear-transcribed mRNA catabolic process, exonucleolytic	2/1159	4/1159	0.687	3.4e+03	2.43e+03	3.31e+03	1
GO:0000294	e	nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000295	e	adenine nucleotide transmembrane transporter activity	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000301	e	retrograde transport, vesicle recycling within Golgi	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000302	e	response to reactive oxygen species	5/1159	4/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000307	p	cyclin-dependent protein kinase holoenzyme complex	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0000309	p	nicotinamide-nucleotide adenylyltransferase activity	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000313	e	organellar ribosome	4/1159	1/1159	0.374	1.85e+03	1.58e+03	1.8e+03	1
GO:0000314	p	organellar small ribosomal subunit	5/1159	7/1159	0.774	3.82e+03	2.56e+03	3.73e+03	1
GO:0000315	p	organellar large ribosomal subunit	5/1159	10/1159	0.3	1.48e+03	1.29e+03	1.45e+03	1
GO:0000320	e	re-entry into mitotic cell cycle	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000321	e	re-entry into mitotic cell cycle after pheromone arrest	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000322	p	storage vacuole	8/1159	16/1159	0.149	739	676	720	1
GO:0000323	p	lytic vacuole	8/1159	16/1159	0.149	739	676	720	1
GO:0000324	p	fungal-type vacuole	8/1159	16/1159	0.149	739	676	720	1
GO:0000328	p	fungal-type vacuole lumen	1/1159	2/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000329	p	fungal-type vacuole membrane	20/1159	26/1159	0.457	2.26e+03	1.84e+03	2.2e+03	1
GO:0000338	e	protein deneddylation	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000346	p	transcription export complex	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0000347	e	THO complex	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000348	e	mRNA branch site recognition	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000349	e	generation of catalytic spliceosome for first transesterification step	4/1159	1/1159	0.374	1.85e+03	1.58e+03	1.8e+03	1
GO:0000350	e	generation of catalytic spliceosome for second transesterification step	4/1159	1/1159	0.374	1.85e+03	1.58e+03	1.8e+03	1
GO:0000354	e	cis assembly of pre-catalytic spliceosome	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000372	p	Group I intron splicing	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000373	e	Group II intron splicing	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000375	e	RNA splicing, via transesterification reactions	18/1159	16/1159	0.863	4.27e+03	2.71e+03	4.16e+03	1
GO:0000376	p	RNA splicing, via transesterification reactions with guanosine as nucleophile	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000377	e	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	18/1159	15/1159	0.726	3.59e+03	2.45e+03	3.5e+03	1
GO:0000384	e	first spliceosomal transesterification activity	3/1159	1/1159	0.625	3.09e+03	2.34e+03	3.01e+03	1
GO:0000386	e	second spliceosomal transesterification activity	5/1159	1/1159	0.218	1.08e+03	972	1.05e+03	1
GO:0000388	e	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000390	e	spliceosomal complex disassembly	3/1159	1/1159	0.625	3.09e+03	2.34e+03	3.01e+03	1
GO:0000398	e	mRNA splicing, via spliceosome	17/1159	15/1159	0.859	4.25e+03	2.71e+03	4.14e+03	1
GO:0000399	p	cellular bud neck septin structure	2/1159	3/1159	1	4.94e+03	2.72e+03	4.82e+03	1
GO:0000400	e	four-way junction DNA binding	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000404	p	heteroduplex DNA loop binding	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000407	p	pre-autophagosomal structure	3/1159	4/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000409	e	regulation of transcription by galactose	3/1159	1/1159	0.625	3.09e+03	2.34e+03	3.01e+03	1
GO:0000411	e	positive regulation of transcription by galactose	3/1159	1/1159	0.625	3.09e+03	2.34e+03	3.01e+03	1
GO:0000412	e	histone peptidyl-prolyl isomerization	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000413	p	protein peptidyl-prolyl isomerization	5/1159	7/1159	0.774	3.82e+03	2.56e+03	3.73e+03	1
GO:0000414	e	regulation of histone H3-K36 methylation	5/1159	2/1159	0.452	2.24e+03	1.85e+03	2.18e+03	1
GO:0000415	p	negative regulation of histone H3-K36 methylation	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000416	e	positive regulation of histone H3-K36 methylation	3/1159	1/1159	0.625	3.09e+03	2.34e+03	3.01e+03	1
GO:0000417	p	HIR complex	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000428	p	DNA-directed RNA polymerase complex	8/1159	11/1159	0.646	3.19e+03	2.32e+03	3.11e+03	1
GO:0000429	e	carbon catabolite regulation of transcription from RNA polymerase II promoter	10/1159	3/1159	0.0914	452	423	440	1
GO:0000430	e	regulation of transcription from RNA polymerase II promoter by glucose	3/1159	1/1159	0.625	3.09e+03	2.34e+03	3.01e+03	1
GO:0000431	e	regulation of transcription from RNA polymerase II promoter by galactose	2/1159	0/1159	0.5	2.47e+03	2e+03	2.41e+03	1
GO:0000433	e	negative regulation of transcription from RNA polymerase II promoter by glucose	3/1159	1/1159	0.625	3.09e+03	2.34e+03	3.01e+03	1
GO:0000435	e	positive regulation of transcription from RNA polymerase II promoter by galactose	2/1159	0/1159	0.5	2.47e+03	2e+03	2.41e+03	1
GO:0000436	e	carbon catabolite activation of transcription from RNA polymerase II promoter	7/1159	1/1159	0.0698	345	325	336	1
GO:0000437	e	carbon catabolite repression of transcription from RNA polymerase II promoter	4/1159	1/1159	0.374	1.85e+03	1.58e+03	1.8e+03	1
GO:0000439	e	core TFIIH complex	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000445	e	THO complex part of transcription export complex	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000446	e	nucleoplasmic THO complex	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000447	e	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	23/1159	12/1159	0.0871	431	404	420	1
GO:0000448	e	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000451	e	rRNA 2'-O-methylation	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000453	e	enzyme-directed rRNA 2'-O-methylation	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000455	e	enzyme-directed rRNA pseudouridine synthesis	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000459	e	exonucleolytic trimming involved in rRNA processing	7/1159	4/1159	0.548	2.71e+03	2.11e+03	2.64e+03	1
GO:0000460	e	maturation of 5.8S rRNA	12/1159	6/1159	0.236	1.17e+03	1.04e+03	1.14e+03	1
GO:0000461	p	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1/1159	2/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000462	e	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	32/1159	22/1159	0.215	1.06e+03	958	1.04e+03	1
GO:0000463	e	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	22/1159	11/1159	0.078	386	362	376	1
GO:0000464	e	endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000465	e	exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000466	e	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	12/1159	6/1159	0.236	1.17e+03	1.04e+03	1.14e+03	1
GO:0000467	e	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	6/1159	4/1159	0.753	3.72e+03	2.53e+03	3.63e+03	1
GO:0000469	e	cleavage involved in rRNA processing	34/1159	19/1159	0.0507	251	238	244	1
GO:0000470	e	maturation of LSU-rRNA	25/1159	14/1159	0.105	520	484	507	1
GO:0000472	e	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	18/1159	7/1159	0.0422	208	199	203	1
GO:0000478	e	endonucleolytic cleavage involved in rRNA processing	25/1159	13/1159	0.0706	349	328	340	1
GO:0000479	e	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	25/1159	13/1159	0.0706	349	328	340	1
GO:0000480	e	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	17/1159	7/1159	0.0626	309	292	301	1
GO:0000491	e	small nucleolar ribonucleoprotein complex assembly	4/1159	3/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000492	e	box C/D snoRNP assembly	4/1159	3/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000494	p	box C/D snoRNA 3'-end processing	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000495	p	box H/ACA snoRNA 3'-end processing	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000500	e	RNA polymerase I upstream activating factor complex	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000502	p	proteasome complex	15/1159	17/1159	0.859	4.25e+03	2.71e+03	4.14e+03	1
GO:0000702	e	oxidized base lesion DNA N-glycosylase activity	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000703	e	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000706	e	meiotic DNA double-strand break processing	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000709	e	meiotic joint molecule formation	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000710	e	meiotic mismatch repair	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000713	e	meiotic heteroduplex formation	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000721	p	(R,R)-butanediol dehydrogenase activity	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000722	p	telomere maintenance via recombination	4/1159	4/1159	1	4.94e+03	2.79e+03	4.82e+03	1
GO:0000723	e	telomere maintenance	13/1159	10/1159	0.676	3.34e+03	2.4e+03	3.26e+03	1
GO:0000724	e	double-strand break repair via homologous recombination	8/1159	5/1159	0.58	2.87e+03	2.21e+03	2.79e+03	1
GO:0000725	e	recombinational repair	11/1159	6/1159	0.331	1.63e+03	1.41e+03	1.59e+03	1
GO:0000726	e	non-recombinational repair	7/1159	3/1159	0.343	1.69e+03	1.46e+03	1.65e+03	1
GO:0000727	e	double-strand break repair via break-induced replication	3/1159	2/1159	1	4.94e+03	2.72e+03	4.82e+03	1
GO:0000729	e	DNA double-strand break processing	3/1159	1/1159	0.625	3.09e+03	2.34e+03	3.01e+03	1
GO:0000730	e	DNA recombinase assembly	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000731	e	DNA synthesis involved in DNA repair	2/1159	0/1159	0.5	2.47e+03	2e+03	2.41e+03	1
GO:0000733	e	DNA strand renaturation	4/1159	1/1159	0.374	1.85e+03	1.58e+03	1.8e+03	1
GO:0000734	e	gene conversion at mating-type locus, DNA repair synthesis	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000741	e	karyogamy	4/1159	3/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000742	p	karyogamy involved in conjugation with cellular fusion	3/1159	3/1159	1	4.94e+03	1.91e+03	4.82e+03	1
GO:0000746	e	conjugation	5/1159	3/1159	0.726	3.59e+03	2.5e+03	3.5e+03	1
GO:0000747	e	conjugation with cellular fusion	5/1159	3/1159	0.726	3.59e+03	2.5e+03	3.5e+03	1
GO:0000750	p	pheromone-dependent signal transduction involved in conjugation with cellular fusion	3/1159	4/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000754	e	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion	3/1159	2/1159	1	4.94e+03	2.72e+03	4.82e+03	1
GO:0000774	p	adenyl-nucleotide exchange factor activity	3/1159	3/1159	1	4.94e+03	1.91e+03	4.82e+03	1
GO:0000775	e	chromosome, centromeric region	7/1159	4/1159	0.548	2.71e+03	2.11e+03	2.64e+03	1
GO:0000776	p	kinetochore	5/1159	5/1159	1	4.94e+03	2.84e+03	4.82e+03	1
GO:0000777	p	condensed chromosome kinetochore	3/1159	3/1159	1	4.94e+03	1.91e+03	4.82e+03	1
GO:0000778	p	condensed nuclear chromosome kinetochore	2/1159	3/1159	1	4.94e+03	2.72e+03	4.82e+03	1
GO:0000779	p	condensed chromosome, centromeric region	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000780	p	condensed nuclear chromosome, centromeric region	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000781	e	chromosome, telomeric region	13/1159	8/1159	0.381	1.88e+03	1.59e+03	1.84e+03	1
GO:0000782	p	telomere cap complex	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000783	p	nuclear telomere cap complex	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000784	e	nuclear chromosome, telomeric region	6/1159	2/1159	0.288	1.42e+03	1.25e+03	1.39e+03	1
GO:0000785	e	chromatin	33/1159	15/1159	0.0124	61.1	59	59.5	1
GO:0000786	e	nucleosome	7/1159	5/1159	0.774	3.82e+03	2.56e+03	3.73e+03	1
