# min_ratio=None pval=None
id	enrichment	description	ratio_in_study	ratio_in_pop	p_uncorrected	p_bonferroni	p_holm	p_sidak	p_fdr
GO:0000221	e	vacuolar proton-transporting V-type ATPase, V1 domain	7/1159	8/4258	0.000667	3.29	3.05	3.21	n.a.
GO:0000224	e	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0000226	p	microtubule cytoskeleton organization	11/1159	61/4258	0.112	555	398	541	n.a.
GO:0000228	e	nuclear chromosome	6/1159	21/4258	0.811	4.01e+03	745	3.91e+03	n.a.
GO:0000229	e	cytoplasmic chromosome	2/1159	3/4258	0.182	899	607	876	n.a.
GO:0000243	e	commitment complex	3/1159	10/4258	0.737	3.64e+03	777	3.55e+03	n.a.
GO:0000245	p	spliceosomal complex assembly	1/1159	10/4258	0.304	1.5e+03	702	1.46e+03	n.a.
GO:0000248	e	C-5 sterol desaturase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000252	e	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000262	e	mitochondrial chromosome	2/1159	3/4258	0.182	899	607	876	n.a.
GO:0000266	p	mitochondrial fission	1/1159	6/4258	1	4.94e+03	726	4.82e+03	n.a.
GO:0000271	p	polysaccharide biosynthetic process	5/1159	33/4258	0.167	827	564	806	n.a.
GO:0000272	e	polysaccharide catabolic process	2/1159	6/4258	0.666	3.29e+03	827	3.21e+03	n.a.
GO:0000274	e	mitochondrial proton-transporting ATP synthase, stator stalk	3/1159	3/4258	0.0201	99.5	83.6	97	n.a.
GO:0000276	p	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	1/1159	6/4258	1	4.94e+03	726	4.82e+03	n.a.
GO:0000278	e	mitotic cell cycle	2/1159	6/4258	0.666	3.29e+03	827	3.21e+03	n.a.
GO:0000280	p	nuclear division	19/1159	93/4258	0.157	778	535	759	n.a.
GO:0000281	p	mitotic cytokinesis	2/1159	9/4258	1	4.94e+03	825	4.82e+03	n.a.
GO:0000282	p	cellular bud site selection	3/1159	30/4258	0.0377	186	150	181	n.a.
GO:0000287	e	magnesium ion binding	20/1159	46/4258	0.0186	91.8	77.7	89.5	n.a.
GO:0000288	p	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	1/1159	12/4258	0.199	985	636	960	n.a.
GO:0000289	p	nuclear-transcribed mRNA poly(A) tail shortening	1/1159	9/4258	0.459	2.27e+03	913	2.21e+03	n.a.
GO:0000290	p	deadenylation-dependent decapping of nuclear-transcribed mRNA	1/1159	9/4258	0.459	2.27e+03	913	2.21e+03	n.a.
GO:0000291	p	nuclear-transcribed mRNA catabolic process, exonucleolytic	2/1159	18/4258	0.183	904	591	881	n.a.
GO:0000294	e	nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000295	e	adenine nucleotide transmembrane transporter activity	2/1159	4/4258	0.3	1.48e+03	725	1.44e+03	n.a.
GO:0000301	e	retrograde transport, vesicle recycling within Golgi	2/1159	7/4258	1	4.94e+03	630	4.82e+03	n.a.
GO:0000302	e	response to reactive oxygen species	5/1159	13/4258	0.359	1.77e+03	776	1.73e+03	n.a.
GO:0000307	p	cyclin-dependent protein kinase holoenzyme complex	2/1159	10/4258	1	4.94e+03	780	4.82e+03	n.a.
GO:0000309	e	nicotinamide-nucleotide adenylyltransferase activity	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0000313	e	organellar ribosome	4/1159	4/4258	0.00547	27	24	26.3	n.a.
GO:0000314	p	organellar small ribosomal subunit	5/1159	33/4258	0.167	827	564	806	n.a.
GO:0000315	p	organellar large ribosomal subunit	5/1159	43/4258	0.0236	117	96.1	114	n.a.
GO:0000320	e	re-entry into mitotic cell cycle	2/1159	7/4258	1	4.94e+03	630	4.82e+03	n.a.
GO:0000321	e	re-entry into mitotic cell cycle after pheromone arrest	2/1159	7/4258	1	4.94e+03	630	4.82e+03	n.a.
GO:0000322	p	storage vacuole	8/1159	48/4258	0.105	519	373	506	n.a.
GO:0000323	p	lytic vacuole	8/1159	48/4258	0.105	519	373	506	n.a.
GO:0000324	p	fungal-type vacuole	8/1159	48/4258	0.105	519	373	506	n.a.
GO:0000328	p	fungal-type vacuole lumen	1/1159	7/4258	0.682	3.37e+03	807	3.29e+03	n.a.
GO:0000329	p	fungal-type vacuole membrane	20/1159	102/4258	0.0909	449	326	438	n.a.
GO:0000338	e	protein deneddylation	2/1159	3/4258	0.182	899	607	876	n.a.
GO:0000346	e	transcription export complex	2/1159	3/4258	0.182	899	607	876	n.a.
GO:0000347	e	THO complex	2/1159	4/4258	0.3	1.48e+03	725	1.44e+03	n.a.
GO:0000348	e	mRNA branch site recognition	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0000349	e	generation of catalytic spliceosome for first transesterification step	4/1159	6/4258	0.0504	249	199	243	n.a.
GO:0000350	e	generation of catalytic spliceosome for second transesterification step	4/1159	9/4258	0.266	1.32e+03	813	1.28e+03	n.a.
GO:0000354	e	cis assembly of pre-catalytic spliceosome	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000372	p	Group I intron splicing	1/1159	9/4258	0.459	2.27e+03	913	2.21e+03	n.a.
GO:0000373	e	Group II intron splicing	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000375	p	RNA splicing, via transesterification reactions	18/1159	77/4258	0.519	2.56e+03	773	2.5e+03	n.a.
GO:0000376	p	RNA splicing, via transesterification reactions with guanosine as nucleophile	1/1159	9/4258	0.459	2.27e+03	913	2.21e+03	n.a.
GO:0000377	p	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	18/1159	69/4258	0.892	4.41e+03	770	4.3e+03	n.a.
GO:0000384	e	first spliceosomal transesterification activity	3/1159	11/4258	1	4.94e+03	61	4.82e+03	n.a.
GO:0000386	e	second spliceosomal transesterification activity	5/1159	13/4258	0.359	1.77e+03	776	1.73e+03	n.a.
GO:0000388	e	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0000390	e	spliceosomal complex disassembly	3/1159	5/4258	0.128	633	448	617	n.a.
GO:0000398	p	mRNA splicing, via spliceosome	17/1159	68/4258	0.784	3.87e+03	738	3.78e+03	n.a.
GO:0000399	p	cellular bud neck septin structure	2/1159	15/4258	0.382	1.89e+03	815	1.84e+03	n.a.
GO:0000400	e	four-way junction DNA binding	2/1159	5/4258	0.618	3.05e+03	837	2.98e+03	n.a.
GO:0000404	p	heteroduplex DNA loop binding	1/1159	5/4258	1	4.94e+03	409	4.82e+03	n.a.
GO:0000407	p	pre-autophagosomal structure	3/1159	25/4258	0.113	559	400	545	n.a.
GO:0000409	e	regulation of transcription by galactose	3/1159	6/4258	0.354	1.75e+03	788	1.71e+03	n.a.
GO:0000411	e	positive regulation of transcription by galactose	3/1159	6/4258	0.354	1.75e+03	788	1.71e+03	n.a.
GO:0000412	e	histone peptidyl-prolyl isomerization	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0000413	e	protein peptidyl-prolyl isomerization	5/1159	16/4258	0.779	3.85e+03	741	3.75e+03	n.a.
GO:0000414	e	regulation of histone H3-K36 methylation	5/1159	5/4258	0.00148	7.34	6.7	7.15	n.a.
GO:0000415	e	negative regulation of histone H3-K36 methylation	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000416	e	positive regulation of histone H3-K36 methylation	3/1159	3/4258	0.0201	99.5	83.6	97	n.a.
GO:0000417	p	HIR complex	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0000428	p	DNA-directed RNA polymerase complex	8/1159	37/4258	0.578	2.86e+03	811	2.78e+03	n.a.
GO:0000429	e	carbon catabolite regulation of transcription from RNA polymerase II promoter	10/1159	23/4258	0.0982	485	350	473	n.a.
GO:0000430	e	regulation of transcription from RNA polymerase II promoter by glucose	3/1159	8/4258	0.456	2.25e+03	920	2.2e+03	n.a.
GO:0000431	e	regulation of transcription from RNA polymerase II promoter by galactose	2/1159	3/4258	0.182	899	607	876	n.a.
GO:0000433	e	negative regulation of transcription from RNA polymerase II promoter by glucose	3/1159	7/4258	0.399	1.97e+03	842	1.92e+03	n.a.
GO:0000435	e	positive regulation of transcription from RNA polymerase II promoter by galactose	2/1159	3/4258	0.182	899	607	876	n.a.
GO:0000436	e	carbon catabolite activation of transcription from RNA polymerase II promoter	7/1159	15/4258	0.14	694	482	676	n.a.
GO:0000437	e	carbon catabolite repression of transcription from RNA polymerase II promoter	4/1159	7/4258	0.0927	458	332	447	n.a.
GO:0000439	e	core TFIIH complex	2/1159	7/4258	1	4.94e+03	630	4.82e+03	n.a.
GO:0000445	e	THO complex part of transcription export complex	2/1159	4/4258	0.3	1.48e+03	725	1.44e+03	n.a.
GO:0000446	e	nucleoplasmic THO complex	2/1159	4/4258	0.3	1.48e+03	725	1.44e+03	n.a.
GO:0000447	e	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	23/1159	41/4258	0.000118	0.584	0.55	0.57	n.a.
GO:0000448	e	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0000451	e	rRNA 2'-O-methylation	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000453	e	enzyme-directed rRNA 2'-O-methylation	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000455	e	enzyme-directed rRNA pseudouridine synthesis	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000459	e	exonucleolytic trimming involved in rRNA processing	7/1159	19/4258	0.437	2.16e+03	892	2.11e+03	n.a.
GO:0000460	e	maturation of 5.8S rRNA	12/1159	20/4258	0.00205	10.1	9.18	9.88	n.a.
GO:0000461	p	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1/1159	5/4258	1	4.94e+03	409	4.82e+03	n.a.
GO:0000462	e	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	32/1159	58/4258	7.92e-06	0.0392	0.0376	0.0382	n.a.
GO:0000463	e	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	22/1159	34/4258	5.03e-06	0.0249	0.024	0.0242	n.a.
GO:0000464	e	endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0000465	e	exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000466	e	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	12/1159	19/4258	0.00109	5.38	4.93	5.24	n.a.
GO:0000467	e	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	6/1159	18/4258	0.597	2.95e+03	820	2.88e+03	n.a.
GO:0000469	e	cleavage involved in rRNA processing	34/1159	69/4258	9.69e-05	0.479	0.452	0.467	n.a.
GO:0000470	e	maturation of LSU-rRNA	25/1159	41/4258	7.53e-06	0.0372	0.0358	0.0363	n.a.
GO:0000472	e	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	18/1159	31/4258	0.000332	1.64	1.53	1.6	n.a.
GO:0000478	e	endonucleolytic cleavage involved in rRNA processing	25/1159	46/4258	9.2e-05	0.455	0.429	0.443	n.a.
GO:0000479	e	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	25/1159	46/4258	9.2e-05	0.455	0.429	0.443	n.a.
GO:0000480	e	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	17/1159	30/4258	0.000684	3.38	3.12	3.3	n.a.
GO:0000491	e	small nucleolar ribonucleoprotein complex assembly	4/1159	10/4258	0.475	2.35e+03	735	2.29e+03	n.a.
GO:0000492	e	box C/D snoRNP assembly	4/1159	8/4258	0.225	1.11e+03	708	1.08e+03	n.a.
GO:0000494	e	box C/D snoRNA 3'-end processing	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0000495	e	box H/ACA snoRNA 3'-end processing	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000500	p	RNA polymerase I upstream activating factor complex	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0000502	e	proteasome complex	15/1159	38/4258	0.0994	491	354	479	n.a.
GO:0000702	e	oxidized base lesion DNA N-glycosylase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0000703	e	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000706	e	meiotic DNA double-strand break processing	2/1159	5/4258	0.618	3.05e+03	837	2.98e+03	n.a.
GO:0000709	e	meiotic joint molecule formation	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0000710	p	meiotic mismatch repair	2/1159	8/4258	1	4.94e+03	658	4.82e+03	n.a.
GO:0000713	e	meiotic heteroduplex formation	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000721	e	(R,R)-butanediol dehydrogenase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000722	p	telomere maintenance via recombination	4/1159	22/4258	0.472	2.34e+03	734	2.28e+03	n.a.
GO:0000723	p	telomere maintenance	13/1159	49/4258	1	4.94e+03	31	4.82e+03	n.a.
GO:0000724	p	double-strand break repair via homologous recombination	8/1159	41/4258	0.296	1.46e+03	717	1.43e+03	n.a.
GO:0000725	p	recombinational repair	11/1159	46/4258	0.74	3.65e+03	747	3.56e+03	n.a.
GO:0000726	e	non-recombinational repair	7/1159	21/4258	0.623	3.08e+03	788	3e+03	n.a.
GO:0000727	p	double-strand break repair via break-induced replication	3/1159	21/4258	0.225	1.11e+03	709	1.08e+03	n.a.
GO:0000729	e	DNA double-strand break processing	3/1159	7/4258	0.399	1.97e+03	842	1.92e+03	n.a.
GO:0000730	e	DNA recombinase assembly	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000731	e	DNA synthesis involved in DNA repair	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0000733	e	DNA strand renaturation	4/1159	7/4258	0.0927	458	332	447	n.a.
GO:0000734	e	gene conversion at mating-type locus, DNA repair synthesis	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000741	e	karyogamy	4/1159	14/4258	1	4.94e+03	754	4.82e+03	n.a.
GO:0000742	e	karyogamy involved in conjugation with cellular fusion	3/1159	8/4258	0.456	2.25e+03	920	2.2e+03	n.a.
GO:0000746	e	conjugation	5/1159	14/4258	0.547	2.71e+03	790	2.64e+03	n.a.
GO:0000747	e	conjugation with cellular fusion	5/1159	14/4258	0.547	2.71e+03	790	2.64e+03	n.a.
GO:0000750	p	pheromone-dependent signal transduction involved in conjugation with cellular fusion	3/1159	16/4258	0.58	2.87e+03	813	2.8e+03	n.a.
GO:0000754	p	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion	3/1159	16/4258	0.58	2.87e+03	813	2.8e+03	n.a.
GO:0000774	e	adenyl-nucleotide exchange factor activity	3/1159	7/4258	0.399	1.97e+03	842	1.92e+03	n.a.
GO:0000775	e	chromosome, centromeric region	7/1159	22/4258	0.634	3.13e+03	797	3.05e+03	n.a.
GO:0000776	p	kinetochore	5/1159	34/4258	0.122	601	427	586	n.a.
GO:0000777	p	condensed chromosome kinetochore	3/1159	24/4258	0.164	813	556	792	n.a.
GO:0000778	p	condensed nuclear chromosome kinetochore	2/1159	21/4258	0.0842	416	304	405	n.a.
GO:0000779	p	condensed chromosome, centromeric region	1/1159	7/4258	0.682	3.37e+03	807	3.29e+03	n.a.
GO:0000780	p	condensed nuclear chromosome, centromeric region	1/1159	7/4258	0.682	3.37e+03	807	3.29e+03	n.a.
GO:0000781	e	chromosome, telomeric region	13/1159	40/4258	0.476	2.35e+03	731	2.29e+03	n.a.
GO:0000782	e	telomere cap complex	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0000783	e	nuclear telomere cap complex	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0000784	e	nuclear chromosome, telomeric region	6/1159	15/4258	0.257	1.27e+03	789	1.24e+03	n.a.
GO:0000785	e	chromatin	33/1159	74/4258	0.00137	6.75	6.16	6.58	n.a.
GO:0000786	e	nucleosome	7/1159	7/4258	0.000109	0.54	0.509	0.526	n.a.
GO:0000788	e	nuclear nucleosome	6/1159	5/4258	0	0	0	0	n.a.
GO:0000790	e	nuclear chromatin	23/1159	49/4258	0.00321	15.9	14.2	15.5	n.a.
GO:0000791	e	euchromatin	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000792	p	heterochromatin	5/1159	20/4258	1	4.94e+03	428	4.82e+03	n.a.
GO:0000793	p	condensed chromosome	2/1159	10/4258	1	4.94e+03	780	4.82e+03	n.a.
GO:0000794	p	condensed nuclear chromosome	2/1159	10/4258	1	4.94e+03	780	4.82e+03	n.a.
GO:0000795	e	synaptonemal complex	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0000798	p	nuclear cohesin complex	1/1159	6/4258	1	4.94e+03	726	4.82e+03	n.a.
GO:0000800	e	lateral element	1/1159	0/4258	1	4.94e+03	1	4.82e+03	n.a.
